DBN,School Name,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
06M324,M.S. 324 - Patria Mirabal,2015-16,449,0,0,0,0,0,0,0,124,161,164,0,0,0,0,220,49.0%,229,51.0%,7,1.6%,48,10.7%,380,84.6%,2,0.4%,12,2.7%,108,24.1%,122,27.2%,385,85.7%,71.9%
06M324,M.S. 324 - Patria Mirabal,2016-17,423,0,0,0,0,0,0,0,118,142,163,0,0,0,0,209,49.4%,214,50.6%,2,0.5%,50,11.8%,360,85.1%,1,0.2%,10,2.4%,107,25.3%,132,31.2%,378,89.4%,73.4%
06M324,M.S. 324 - Patria Mirabal,2017-18,399,0,0,0,0,0,0,0,116,132,151,0,0,0,0,199,49.9%,200,50.1%,2,0.5%,48,12.0%,336,84.2%,2,0.5%,11,2.8%,111,27.8%,137,34.3%,366,91.7%,88.0%
06M324,M.S. 324 - Patria Mirabal,2018-19,340,0,0,0,0,0,0,0,81,124,135,0,0,0,0,169,49.7%,171,50.3%,3,0.9%,38,11.2%,286,84.1%,1,0.3%,12,3.5%,104,30.6%,116,34.1%,309,90.9%,89.2%
06M328,Community Math & Science Prep,2014-15,213,0,0,0,0,0,0,0,49,67,97,0,0,0,0,83,39.0%,130,61.0%,1,0.5%,31,14.6%,180,84.5%,0,0.0%,1,0.5%,52,24.4%,80,37.6%,199,93.4%,82.3%
06M328,Community Math & Science Prep,2015-16,148,0,0,0,0,0,0,0,33,47,68,0,0,0,0,51,34.5%,97,65.5%,2,1.4%,18,12.2%,126,85.1%,0,0.0%,2,1.4%,51,34.5%,54,36.5%,145,98.0%,82.4%
06M328,Community Math & Science Prep,2016-17,246,0,0,0,0,0,0,0,54,88,104,0,0,0,0,105,42.7%,141,57.3%,6,2.4%,38,15.4%,200,81.3%,0,0.0%,2,0.8%,80,32.5%,118,48.0%,232,94.3%,77.6%
06M328,Community Math & Science Prep,2017-18,229,0,0,0,0,0,0,0,58,79,92,0,0,0,0,98,42.8%,131,57.2%,9,3.9%,29,12.7%,189,82.5%,1,0.4%,1,0.4%,84,36.7%,116,50.7%,227,99.1%,93.5%
06M328,Community Math & Science Prep,2018-19,210,0,0,0,0,0,0,0,57,72,81,0,0,0,0,91,43.3%,119,56.7%,6,2.9%,18,8.6%,177,84.3%,1,0.5%,8,3.8%,75,35.7%,108,51.4%,205,97.6%,90.7%
06M346,Community Health Academy of the Heights,2014-15,629,0,0,0,0,0,0,0,84,102,78,101,95,95,74,317,50.4%,312,49.6%,1,0.2%,37,5.9%,576,91.6%,2,0.3%,13,2.1%,124,19.7%,155,24.6%,567,90.1%,85.4%
06M346,Community Health Academy of the Heights,2015-16,645,0,0,0,0,0,0,0,93,83,97,95,95,85,97,326,50.5%,319,49.5%,4,0.6%,44,6.8%,585,90.7%,4,0.6%,8,1.2%,129,20.0%,126,19.5%,597,92.6%,82.5%
06M346,Community Health Academy of the Heights,2016-17,663,0,0,0,0,0,0,0,96,92,90,99,101,100,85,331,49.9%,332,50.1%,6,0.9%,52,7.8%,593,89.4%,5,0.8%,7,1.1%,122,18.4%,113,17.0%,612,92.3%,81.1%
06M346,Community Health Academy of the Heights,2017-18,703,0,0,0,0,0,0,0,92,99,94,111,101,98,108,345,49.1%,358,50.9%,6,0.9%,46,6.5%,638,90.8%,2,0.3%,11,1.6%,134,19.1%,123,17.5%,656,93.3%,89.9%
06M346,Community Health Academy of the Heights,2018-19,713,0,0,0,0,0,0,0,90,89,99,94,111,112,118,353,49.5%,360,50.5%,5,0.7%,51,7.2%,642,90.0%,1,0.1%,14,2.0%,144,20.2%,129,18.1%,629,88.2%,89.0%
06M348,Washington Heights Expeditionary Learning School,2014-15,705,27,42,0,0,0,0,0,84,89,96,107,99,77,84,310,44.0%,395,56.0%,4,0.6%,22,3.1%,664,94.2%,2,0.3%,13,1.8%,139,19.7%,125,17.7%,540,76.6%,81.6%
06M348,Washington Heights Expeditionary Learning School,2015-16,760,31,37,44,0,0,0,0,87,82,89,120,102,91,77,332,43.7%,428,56.3%,4,0.5%,25,3.3%,716,94.2%,2,0.3%,13,1.7%,156,20.5%,130,17.1%,558,73.4%,80.0%
06M348,Washington Heights Expeditionary Learning School,2016-17,806,32,37,35,38,0,0,0,86,89,84,103,123,88,91,358,44.4%,448,55.6%,8,1.0%,32,4.0%,741,91.9%,3,0.4%,22,2.7%,169,21.0%,140,17.4%,568,70.5%,78.4%
06M348,Washington Heights Expeditionary Learning School,2017-18,815,31,37,36,32,38,0,0,84,87,87,94,108,95,86,375,46.0%,440,54.0%,7,0.9%,28,3.4%,747,91.7%,5,0.6%,28,3.4%,179,22.0%,126,15.5%,630,77.3%,83.9%
06M348,Washington Heights Expeditionary Learning School,2018-19,864,33,44,37,33,33,33,0,98,86,86,91,102,95,93,391,45.3%,473,54.7%,10,1.2%,30,3.5%,788,91.2%,6,0.7%,30,3.5%,177,20.5%,139,16.1%,697,80.7%,83.5%
06M349,Harbor Heights,2014-15,137,0,0,0,0,0,0,0,23,49,65,0,0,0,0,57,41.6%,80,58.4%,0,0.0%,0,0.0%,137,100.0%,0,0.0%,0,0.0%,1,0.7%,132,96.4%,135,98.5%,85.8%
06M349,Harbor Heights,2015-16,137,0,0,0,0,0,0,0,39,39,59,0,0,0,0,57,41.6%,80,58.4%,0,0.0%,0,0.0%,137,100.0%,0,0.0%,0,0.0%,1,0.7%,125,91.2%,126,92.0%,84.4%
06M349,Harbor Heights,2016-17,155,0,0,0,0,0,0,0,34,56,65,0,0,0,0,74,47.7%,81,52.3%,0,0.0%,0,0.0%,154,99.4%,1,0.6%,0,0.0%,1,0.6%,139,89.7%,149,96.1%,75.2%
06M349,Harbor Heights,2017-18,129,0,0,0,0,0,0,0,27,38,64,0,0,0,0,65,50.4%,64,49.6%,0,0.0%,0,0.0%,129,100.0%,0,0.0%,0,0.0%,1,0.8%,110,85.3%,129,100.0%,93.0%
06M349,Harbor Heights,2018-19,129,0,0,0,0,0,0,0,24,40,65,0,0,0,0,58,45.0%,71,55.0%,0,0.0%,0,0.0%,129,100.0%,0,0.0%,0,0.0%,2,1.6%,118,91.5%,126,97.7%,90.6%
06M366,Washington Heights Academy,2014-15,473,54,55,56,58,58,63,73,56,0,0,0,0,0,0,261,55.2%,212,44.8%,11,2.3%,11,2.3%,433,91.5%,5,1.1%,13,2.7%,64,13.5%,85,18.0%,413,87.3%,74.7%
06M366,Washington Heights Academy,2015-16,511,53,46,67,61,59,61,51,62,51,0,0,0,0,0,287,56.2%,224,43.8%,9,1.8%,6,1.2%,481,94.1%,6,1.2%,9,1.8%,78,15.3%,86,16.8%,448,87.7%,74.7%
06M366,Washington Heights Academy,2016-17,563,53,50,57,68,61,56,54,55,59,50,0,0,0,0,317,56.3%,246,43.7%,13,2.3%,9,1.6%,522,92.7%,6,1.1%,13,2.3%,78,13.9%,94,16.7%,504,89.5%,74.3%
06M366,Washington Heights Academy,2017-18,571,51,51,59,59,60,63,53,64,56,55,0,0,0,0,312,54.6%,259,45.4%,11,1.9%,10,1.8%,536,93.9%,4,0.7%,10,1.8%,99,17.3%,73,12.8%,519,90.9%,82.2%
06M366,Washington Heights Academy,2018-19,589,54,58,55,59,58,63,63,61,63,55,0,0,0,0,302,51.3%,287,48.7%,12,2.0%,11,1.9%,553,93.9%,1,0.2%,12,2.0%,104,17.7%,70,11.9%,506,85.9%,78.0%
06M368,Hamilton Heights School,2014-15,227,0,42,41,40,31,49,24,0,0,0,0,0,0,0,97,42.7%,130,57.3%,11,4.8%,57,25.1%,129,56.8%,4,1.8%,26,11.5%,24,10.6%,46,20.3%,182,80.2%,74.0%
06M368,Hamilton Heights School,2015-16,216,0,40,32,37,39,28,40,0,0,0,0,0,0,0,97,44.9%,119,55.1%,11,5.1%,42,19.4%,125,57.9%,6,2.8%,32,14.8%,27,12.5%,35,16.2%,167,77.3%,68.1%
06M368,Hamilton Heights School,2016-17,202,0,31,41,35,37,35,23,0,0,0,0,0,0,0,93,46.0%,109,54.0%,7,3.5%,40,19.8%,114,56.4%,10,5.0%,31,15.3%,30,14.9%,37,18.3%,143,70.8%,66.1%
06M368,Hamilton Heights School,2017-18,171,0,15,23,34,35,30,34,0,0,0,0,0,0,0,82,48.0%,89,52.0%,7,4.1%,34,19.9%,91,53.2%,11,6.4%,28,16.4%,30,17.5%,28,16.4%,120,70.2%,74.8%
06M368,Hamilton Heights School,2018-19,149,0,12,20,20,33,36,28,0,0,0,0,0,0,0,67,45.0%,82,55.0%,5,3.4%,30,20.1%,74,49.7%,9,6.0%,31,20.8%,28,18.8%,25,16.8%,101,67.8%,69.9%
06M423,High School for Excellence and Innovation,2014-15,229,0,0,0,0,0,0,0,0,0,0,67,87,41,34,101,44.1%,128,55.9%,1,0.4%,55,24.0%,172,75.1%,1,0.4%,0,0.0%,68,29.7%,48,21.0%,209,91.3%,82.2%
06M423,High School for Excellence and Innovation,2015-16,216,0,0,0,0,0,0,0,0,0,0,56,78,36,46,102,47.2%,114,52.8%,1,0.5%,40,18.5%,172,79.6%,1,0.5%,2,0.9%,66,30.6%,59,27.3%,183,84.7%,79.2%
06M423,High School for Excellence and Innovation,2016-17,221,0,0,0,0,0,0,0,0,0,0,41,74,62,44,110,49.8%,111,50.2%,2,0.9%,26,11.8%,190,86.0%,1,0.5%,2,0.9%,60,27.1%,87,39.4%,195,88.2%,79.7%
06M423,High School for Excellence and Innovation,2017-18,201,0,0,0,0,0,0,0,0,0,0,33,51,28,89,89,44.3%,112,55.7%,1,0.5%,21,10.4%,175,87.1%,1,0.5%,3,1.5%,43,21.4%,97,48.3%,191,95.0%,95.6%
06M423,High School for Excellence and Innovation,2018-19,182,0,0,0,0,0,0,0,0,0,0,43,43,25,71,89,48.9%,93,51.1%,0,0.0%,16,8.8%,163,89.6%,1,0.5%,2,1.1%,35,19.2%,93,51.1%,171,94.0%,94.5%
06M462,The College Academy,2014-15,491,0,0,0,0,0,0,0,0,0,0,113,108,111,159,190,38.7%,301,61.3%,1,0.2%,44,9.0%,437,89.0%,4,0.8%,5,1.0%,103,21.0%,218,44.4%,480,97.8%,86.5%
06M462,The College Academy,2015-16,477,0,0,0,0,0,0,0,0,0,0,132,122,104,119,186,39.0%,291,61.0%,1,0.2%,53,11.1%,413,86.6%,4,0.8%,6,1.3%,102,21.4%,204,42.8%,463,97.1%,84.3%
06M462,The College Academy,2016-17,459,0,0,0,0,0,0,0,0,0,0,93,134,110,122,184,40.1%,275,59.9%,3,0.7%,51,11.1%,396,86.3%,4,0.9%,5,1.1%,93,20.3%,205,44.7%,448,97.6%,82.7%
06M462,The College Academy,2017-18,460,0,0,0,0,0,0,0,0,0,0,106,105,123,126,181,39.3%,279,60.7%,0,0.0%,43,9.3%,408,88.7%,3,0.7%,6,1.3%,79,17.2%,227,49.3%,447,97.2%,91.7%
06M462,The College Academy,2018-19,427,0,0,0,0,0,0,0,0,0,0,95,110,102,120,172,40.3%,255,59.7%,1,0.2%,27,6.3%,385,90.2%,5,1.2%,9,2.1%,75,17.6%,223,52.2%,410,96.0%,92.7%
06M463,High School for Media and Communications,2014-15,479,0,0,0,0,0,0,0,0,0,0,182,105,109,83,207,43.2%,272,56.8%,10,2.1%,68,14.2%,394,82.3%,3,0.6%,4,0.8%,95,19.8%,162,33.8%,435,90.8%,85.0%
06M463,High School for Media and Communications,2015-16,427,0,0,0,0,0,0,0,0,0,0,151,107,74,95,185,43.3%,242,56.7%,7,1.6%,61,14.3%,352,82.4%,2,0.5%,5,1.2%,84,19.7%,159,37.2%,395,92.5%,84.7%
06M463,High School for Media and Communications,2016-17,409,0,0,0,0,0,0,0,0,0,0,129,114,90,76,178,43.5%,231,56.5%,5,1.2%,49,12.0%,351,85.8%,1,0.2%,3,0.7%,72,17.6%,162,39.6%,388,94.9%,86.7%
06M463,High School for Media and Communications,2017-18,408,0,0,0,0,0,0,0,0,0,0,121,109,88,90,193,47.3%,215,52.7%,4,1.0%,46,11.3%,350,85.8%,1,0.2%,7,1.7%,63,15.4%,207,50.7%,391,95.8%,93.2%
06M463,High School for Media and Communications,2018-19,396,0,0,0,0,0,0,0,0,0,0,125,110,93,68,179,45.2%,217,54.8%,3,0.8%,39,9.8%,346,87.4%,3,0.8%,5,1.3%,69,17.4%,197,49.7%,378,95.5%,92.3%
06M467,High School for Law and Public Service,2014-15,671,0,0,0,0,0,0,0,0,0,0,227,187,134,123,285,42.5%,386,57.5%,3,0.4%,113,16.8%,544,81.1%,2,0.3%,9,1.3%,139,20.7%,184,27.4%,526,78.4%,81.3%
06M467,High School for Law and Public Service,2015-16,615,0,0,0,0,0,0,0,0,0,0,182,186,126,121,286,46.5%,329,53.5%,2,0.3%,100,16.3%,500,81.3%,1,0.2%,12,2.0%,135,22.0%,166,27.0%,471,76.6%,82.6%
06M467,High School for Law and Public Service,2016-17,593,0,0,0,0,0,0,0,0,0,0,182,165,137,109,287,48.4%,306,51.6%,3,0.5%,87,14.7%,491,82.8%,2,0.3%,10,1.7%,132,22.3%,188,31.7%,463,78.1%,81.5%
06M467,High School for Law and Public Service,2017-18,544,0,0,0,0,0,0,0,0,0,0,158,151,105,130,253,46.5%,291,53.5%,4,0.7%,75,13.8%,455,83.6%,1,0.2%,9,1.7%,129,23.7%,205,37.7%,488,89.7%,91.7%
06M467,High School for Law and Public Service,2018-19,481,0,0,0,0,0,0,0,0,0,0,127,158,100,96,238,49.5%,243,50.5%,3,0.6%,67,13.9%,400,83.2%,1,0.2%,10,2.1%,123,25.6%,188,39.1%,431,89.6%,91.5%
06M468,High School for Health Careers and Sciences,2014-15,605,0,0,0,0,0,0,0,0,0,0,200,178,126,101,278,46.0%,327,54.0%,9,1.5%,99,16.4%,482,79.7%,8,1.3%,7,1.2%,110,18.2%,186,30.7%,595,98.3%,84.9%
06M468,High School for Health Careers and Sciences,2015-16,526,0,0,0,0,0,0,0,0,0,0,146,153,109,118,243,46.2%,283,53.8%,11,2.1%,68,12.9%,437,83.1%,5,1.0%,5,1.0%,82,15.6%,182,34.6%,514,97.7%,85.6%
06M468,High School for Health Careers and Sciences,2016-17,460,0,0,0,0,0,0,0,0,0,0,153,113,108,86,223,48.5%,237,51.5%,7,1.5%,62,13.5%,378,82.2%,9,2.0%,4,0.9%,71,15.4%,175,38.0%,446,97.0%,85.3%
06M468,High School for Health Careers and Sciences,2017-18,463,0,0,0,0,0,0,0,0,0,0,151,130,88,94,226,48.8%,237,51.2%,11,2.4%,69,14.9%,372,80.3%,8,1.7%,3,0.6%,89,19.2%,178,38.4%,449,97.0%,93.5%
06M468,High School for Health Careers and Sciences,2018-19,423,0,0,0,0,0,0,0,0,0,0,127,145,87,64,210,49.6%,213,50.4%,8,1.9%,63,14.9%,343,81.1%,5,1.2%,4,0.9%,77,18.2%,174,41.1%,415,98.1%,91.8%
06M513,Castle Bridge School,2014-15,152,17,34,35,43,23,0,0,0,0,0,0,0,0,0,74,48.7%,78,51.3%,6,3.9%,17,11.2%,93,61.2%,4,2.6%,32,21.1%,38,25.0%,29,19.1%,74,48.7%,56.3%
06M513,Castle Bridge School,2015-16,193,18,35,38,29,49,24,0,0,0,0,0,0,0,0,100,51.8%,93,48.2%,4,2.1%,21,10.9%,124,64.2%,4,2.1%,40,20.7%,57,29.5%,31,16.1%,114,59.1%,56.5%
06M513,Castle Bridge School,2016-17,227,18,37,35,33,36,44,24,0,0,0,0,0,0,0,115,50.7%,112,49.3%,4,1.8%,24,10.6%,147,64.8%,7,3.1%,45,19.8%,72,31.7%,61,26.9%,139,61.2%,57.9%
06M513,Castle Bridge School,2017-18,229,18,33,44,25,36,30,43,0,0,0,0,0,0,0,123,53.7%,106,46.3%,4,1.7%,23,10.0%,151,65.9%,10,4.4%,41,17.9%,85,37.1%,69,30.1%,151,65.9%,69.2%
06M513,Castle Bridge School,2018-19,210,18,41,29,38,27,26,31,0,0,0,0,0,0,0,113,53.8%,97,46.2%,3,1.4%,12,5.7%,145,69.0%,8,3.8%,42,20.0%,72,34.3%,73,34.8%,138,65.7%,66.8%
06M528,I.S. 528 Bea Fuller Rodgers School,2014-15,197,0,0,0,0,0,0,0,59,67,71,0,0,0,0,113,57.4%,84,42.6%,1,0.5%,4,2.0%,190,96.4%,0,0.0%,2,1.0%,47,23.9%,35,17.8%,193,98.0%,85.4%
06M528,I.S. 528 Bea Fuller Rodgers School,2015-16,206,0,0,0,0,0,0,0,78,60,68,0,0,0,0,110,53.4%,96,46.6%,2,1.0%,4,1.9%,199,96.6%,0,0.0%,1,0.5%,46,22.3%,40,19.4%,199,96.6%,82.6%
06M528,I.S. 528 Bea Fuller Rodgers School,2016-17,199,0,0,0,0,0,0,0,61,77,61,0,0,0,0,112,56.3%,87,43.7%,2,1.0%,4,2.0%,192,96.5%,0,0.0%,1,0.5%,38,19.1%,45,22.6%,190,95.5%,80.6%
06M528,I.S. 528 Bea Fuller Rodgers School,2017-18,224,0,0,0,0,0,0,0,95,53,76,0,0,0,0,128,57.1%,96,42.9%,1,0.4%,3,1.3%,220,98.2%,0,0.0%,0,0.0%,40,17.9%,55,24.6%,215,96.0%,87.7%
06M528,I.S. 528 Bea Fuller Rodgers School,2018-19,233,0,0,0,0,0,0,0,85,92,56,0,0,0,0,132,56.7%,101,43.3%,2,0.9%,2,0.9%,227,97.4%,0,0.0%,2,0.9%,43,18.5%,64,27.5%,225,96.6%,88.9%
06M540,A. Philip Randolph Campus High School,2014-15,1354,0,0,0,0,0,0,0,0,0,0,484,395,270,205,655,48.4%,699,51.6%,67,4.9%,431,31.8%,810,59.8%,25,1.8%,21,1.6%,191,14.1%,93,6.9%,1176,86.9%,76.9%
06M540,A. Philip Randolph Campus High School,2015-16,1438,0,0,0,0,0,0,0,0,0,0,575,322,291,250,711,49.4%,727,50.6%,78,5.4%,429,29.8%,873,60.7%,35,2.4%,23,1.6%,199,13.8%,143,9.9%,1194,83.0%,77.4%
06M540,A. Philip Randolph Campus High School,2016-17,1447,0,0,0,0,0,0,0,0,0,0,576,396,223,252,717,49.6%,730,50.4%,77,5.3%,424,29.3%,872,60.3%,38,2.6%,36,2.5%,200,13.8%,183,12.6%,1190,82.2%,77.2%
06M540,A. Philip Randolph Campus High School,2017-18,1375,0,0,0,0,0,0,0,0,0,0,600,308,265,202,705,51.3%,669,48.7%,66,4.8%,386,28.1%,857,62.3%,37,2.7%,29,2.1%,206,15.0%,205,14.9%,1187,86.3%,87.0%
06M540,A. Philip Randolph Campus High School,2018-19,1503,0,0,0,0,0,0,0,0,0,0,619,378,226,280,760,50.6%,743,49.4%,82,5.5%,410,27.3%,942,62.7%,35,2.3%,34,2.3%,231,15.4%,213,14.2%,1285,85.5%,85.5%
06M552,Gregorio Luperon High School for Science and Mathe,2014-15,504,0,0,0,0,0,0,0,0,0,0,107,167,125,105,282,56.0%,222,44.0%,0,0.0%,0,0.0%,504,100.0%,0,0.0%,0,0.0%,8,1.6%,420,83.3%,497,98.6%,95.0%
06M552,Gregorio Luperon High School for Science and Mathe,2015-16,503,0,0,0,0,0,0,0,0,0,0,122,167,116,98,269,53.5%,234,46.5%,0,0.0%,0,0.0%,503,100.0%,0,0.0%,0,0.0%,7,1.4%,345,68.6%,499,99.2%,94.4%
06M552,Gregorio Luperon High School for Science and Mathe,2016-17,508,0,0,0,0,0,0,0,0,0,0,139,166,103,100,277,54.5%,231,45.5%,0,0.0%,0,0.0%,508,100.0%,0,0.0%,0,0.0%,10,2.0%,342,67.3%,469,92.3%,94.3%
06M552,Gregorio Luperon High School for Science and Mathe,2017-18,524,0,0,0,0,0,0,0,0,0,0,117,134,144,129,283,54.0%,241,46.0%,0,0.0%,0,0.0%,524,100.0%,0,0.0%,0,0.0%,13,2.5%,402,76.7%,518,98.9%,99.0%
06M552,Gregorio Luperon High School for Science and Mathe,2018-19,521,0,0,0,0,0,0,0,0,0,0,95,138,129,159,274,52.6%,247,47.4%,0,0.0%,0,0.0%,521,100.0%,0,0.0%,0,0.0%,9,1.7%,406,77.9%,517,99.2%,98.7%
07X001,P.S. 001 Courtlandt School,2014-15,707,35,113,111,111,118,118,101,0,0,0,0,0,0,0,347,49.1%,360,50.9%,4,0.6%,155,21.9%,527,74.5%,3,0.4%,18,2.5%,112,15.8%,169,23.9%,693,98.0%,90.8%
07X001,P.S. 001 Courtlandt School,2015-16,686,34,111,108,108,101,107,117,0,0,0,0,0,0,0,339,49.4%,347,50.6%,3,0.4%,155,22.6%,508,74.1%,4,0.6%,16,2.3%,124,18.1%,174,25.4%,678,98.8%,88.8%
07X001,P.S. 001 Courtlandt School,2016-17,622,36,97,109,89,98,95,98,0,0,0,0,0,0,0,306,49.2%,316,50.8%,1,0.2%,141,22.7%,465,74.8%,1,0.2%,14,2.3%,127,20.4%,171,27.5%,615,98.9%,88.5%
07X001,P.S. 001 Courtlandt School,2017-18,663,65,103,105,96,91,103,100,0,0,0,0,0,0,0,324,48.9%,339,51.1%,3,0.5%,149,22.5%,501,75.6%,0,0.0%,10,1.5%,151,22.8%,187,28.2%,652,98.3%,96.6%
07X001,P.S. 001 Courtlandt School,2018-19,649,92,85,97,89,93,101,92,0,0,0,0,0,0,0,324,49.9%,325,50.1%,6,0.9%,153,23.6%,483,74.4%,1,0.2%,6,0.9%,151,23.3%,157,24.2%,622,95.8%,95.0%
07X005,P.S. 5 Port Morris,2014-15,799,34,72,68,91,81,78,88,99,97,91,0,0,0,0,381,47.7%,418,52.3%,1,0.1%,184,23.0%,590,73.8%,9,1.1%,15,1.9%,173,21.7%,177,22.2%,720,90.1%,90.0%
07X005,P.S. 5 Port Morris,2015-16,760,33,73,75,70,82,76,85,76,100,90,0,0,0,0,378,49.7%,382,50.3%,1,0.1%,204,26.8%,537,70.7%,7,0.9%,11,1.4%,173,22.8%,179,23.6%,743,97.8%,90.4%
07X005,P.S. 5 Port Morris,2016-17,722,34,67,70,79,69,77,78,90,71,87,0,0,0,0,353,48.9%,369,51.1%,2,0.3%,199,27.6%,504,69.8%,6,0.8%,11,1.5%,166,23.0%,171,23.7%,693,96.0%,90.2%
07X005,P.S. 5 Port Morris,2017-18,722,36,62,68,67,74,70,78,96,99,72,0,0,0,0,349,48.3%,373,51.7%,3,0.4%,198,27.4%,494,68.4%,6,0.8%,21,2.9%,170,23.5%,168,23.3%,691,95.7%,95.4%
07X005,P.S. 5 Port Morris,2018-19,729,32,55,70,58,64,78,73,94,108,97,0,0,0,0,346,47.5%,383,52.5%,3,0.4%,202,27.7%,500,68.6%,6,0.8%,18,2.5%,172,23.6%,179,24.6%,701,96.2%,94.7%
07X018,P.S. 018 John Peter Zenger,2014-15,576,36,93,88,86,91,97,85,0,0,0,0,0,0,0,267,46.4%,309,53.6%,13,2.3%,164,28.5%,384,66.7%,9,1.6%,6,1.0%,154,26.7%,153,26.6%,540,93.8%,90.9%
07X018,P.S. 018 John Peter Zenger,2015-16,624,35,104,102,97,89,90,107,0,0,0,0,0,0,0,292,46.8%,332,53.2%,14,2.2%,183,29.3%,401,64.3%,10,1.6%,16,2.6%,169,27.1%,163,26.1%,598,95.8%,90.9%
07X018,P.S. 018 John Peter Zenger,2016-17,601,36,76,99,120,86,89,95,0,0,0,0,0,0,0,272,45.3%,329,54.7%,13,2.2%,165,27.5%,398,66.2%,8,1.3%,17,2.8%,164,27.3%,177,29.5%,588,97.8%,91.0%
07X018,P.S. 018 John Peter Zenger,2017-18,603,35,86,82,103,113,89,95,0,0,0,0,0,0,0,294,48.8%,309,51.2%,10,1.7%,151,25.0%,411,68.2%,6,1.0%,25,4.1%,161,26.7%,179,29.7%,592,98.2%,96.6%
07X018,P.S. 018 John Peter Zenger,2018-19,574,36,73,89,85,99,108,84,0,0,0,0,0,0,0,281,49.0%,293,51.0%,7,1.2%,146,25.4%,393,68.5%,6,1.0%,22,3.8%,158,27.5%,160,27.9%,573,99.8%,95.9%
07X025,P.S. 025 Bilingual School,2014-15,490,36,87,86,70,65,92,54,0,0,0,0,0,0,0,221,45.1%,269,54.9%,1,0.2%,41,8.4%,444,90.6%,3,0.6%,1,0.2%,123,25.1%,104,21.2%,479,97.8%,85.4%
07X025,P.S. 025 Bilingual School,2015-16,506,34,77,83,78,71,66,97,0,0,0,0,0,0,0,231,45.7%,275,54.3%,6,1.2%,54,10.7%,438,86.6%,3,0.6%,5,1.0%,131,25.9%,71,14.0%,495,97.8%,83.3%
07X025,P.S. 025 Bilingual School,2016-17,500,32,78,79,84,92,68,67,0,0,0,0,0,0,0,222,44.4%,278,55.6%,7,1.4%,54,10.8%,431,86.2%,3,0.6%,5,1.0%,137,27.4%,83,16.6%,483,96.6%,84.0%
07X025,P.S. 025 Bilingual School,2017-18,540,51,86,92,76,76,92,67,0,0,0,0,0,0,0,251,46.5%,289,53.5%,7,1.3%,53,9.8%,471,87.2%,2,0.4%,7,1.3%,158,29.3%,87,16.1%,516,95.6%,91.7%
07X025,P.S. 025 Bilingual School,2018-19,541,50,74,85,86,80,73,93,0,0,0,0,0,0,0,245,45.3%,296,54.7%,4,0.7%,54,10.0%,475,87.8%,3,0.6%,5,0.9%,167,30.9%,100,18.5%,510,94.3%,91.3%
07X029,P.S./M.S. 029 Melrose School,2014-15,750,30,73,70,75,81,80,69,96,98,78,0,0,0,0,363,48.4%,387,51.6%,17,2.3%,222,29.6%,496,66.1%,6,0.8%,9,1.2%,166,22.1%,121,16.1%,739,98.5%,87.4%
07X029,P.S./M.S. 029 Melrose School,2015-16,758,29,75,71,74,78,85,81,74,95,96,0,0,0,0,357,47.1%,401,52.9%,19,2.5%,215,28.4%,510,67.3%,7,0.9%,7,0.9%,179,23.6%,99,13.1%,734,96.8%,87.2%
07X029,P.S./M.S. 029 Melrose School,2016-17,770,29,70,77,80,84,80,85,92,79,94,0,0,0,0,374,48.6%,396,51.4%,19,2.5%,221,28.7%,514,66.8%,7,0.9%,9,1.2%,178,23.1%,112,14.5%,703,91.3%,87.8%
07X029,P.S./M.S. 029 Melrose School,2017-18,792,62,71,70,88,80,78,89,82,89,83,0,0,0,0,375,47.3%,417,52.7%,12,1.5%,237,29.9%,523,66.0%,11,1.4%,9,1.1%,170,21.5%,101,12.8%,740,93.4%,94.2%
07X029,P.S./M.S. 029 Melrose School,2018-19,795,59,71,62,68,89,83,88,91,87,97,0,0,0,0,374,47.0%,421,53.0%,11,1.4%,256,32.2%,504,63.4%,14,1.8%,10,1.3%,172,21.6%,116,14.6%,728,91.6%,92.5%
07X030,P.S. 030 Wilton,2014-15,624,54,84,89,100,105,91,101,0,0,0,0,0,0,0,299,47.9%,325,52.1%,11,1.8%,139,22.3%,460,73.7%,3,0.5%,11,1.8%,136,21.8%,89,14.3%,591,94.7%,91.0%
07X030,P.S. 030 Wilton,2015-16,584,47,73,89,83,99,98,95,0,0,0,0,0,0,0,302,51.7%,282,48.3%,9,1.5%,120,20.5%,440,75.3%,3,0.5%,12,2.1%,134,22.9%,99,17.0%,561,96.1%,90.3%
07X030,P.S. 030 Wilton,2016-17,590,50,78,77,97,91,105,92,0,0,0,0,0,0,0,301,51.0%,289,49.0%,7,1.2%,119,20.2%,443,75.1%,4,0.7%,17,2.9%,136,23.1%,107,18.1%,543,92.0%,91.4%
