DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Supportive Environment Score,Strong Family-Community Ties Score,Trust Score
11X417,C Columbus Hs Yabc,20%,85%,41%,3.61,3.19,4.49,4.34,3.80,4.62
11X418,Bronx High School For The Visual Arts,24%,57%,82%,2.25,2.89,2.75,2.21,3.18,2.36
11X455,Harry S Truman High School,14%,59%,51%,N/A,N/A,N/A,3.86,N/A,3.54
11X462,Cornerstone Academy For Social Action Middle School (Casa),37%,65%,75%,3.15,3.40,3.56,3.33,3.43,3.28
11X468,Pelham Academy Of Academics And Community Engagement,69%,91%,96%,4.30,3.61,4.27,3.48,3.39,3.41
11X481,The Steam Bridge School,94%,86%,N/A,3.08,4.40,3.15,3.26,3.50,3.80
11X483,The Matilda Avenue School,83%,100%,N/A,4.99,4.99,4.37,4.01,4.21,4.99
11X498,P.S./M.S. 11X498 - Van Nest Academy,66%,98%,65%,3.81,4.08,4.02,4.26,3.33,3.91
11X508,Bronxdale High School,30%,82%,88%,4.86,4.74,4.45,3.69,3.86,4.37
11X509,High School Of Language And Innovation,71%,73%,90%,N/A,N/A,N/A,3.78,N/A,3.85
11X513,New World High School,67%,77%,99%,4.27,3.68,4.40,3.99,2.74,3.85
11X514,The Bronxwood Preparatory Academy,14%,79%,72%,4.39,3.56,4.19,4.13,3.17,3.24
11X529,One World Middle School At Edenwald,71%,98%,99%,4.77,4.66,4.82,3.86,3.68,4.38
11X532,Baychester Middle School,63%,86%,70%,2.16,2.91,2.43,2.67,3.14,2.76
11X542,Pelham Preparatory Academy,23%,97%,89%,3.61,3.18,3.52,3.76,3.20,3.07
11X544,High School For Contemporary Arts,16%,81%,45%,N/A,N/A,N/A,3.49,N/A,3.58
11X545,Bronx Aerospace High School,53%,89%,87%,2.68,2.33,2.32,2.52,3.55,2.54
11X556,Bronx Park Middle School,37%,95%,92%,4.15,3.27,3.76,3.35,3.07,3.84
11X566,Pelham Gardens Middle School,74%,97%,96%,3.21,3.20,3.80,2.97,2.98,3.46
11X567,Linden Tree Elementary School,63%,77%,N/A,3.22,3.03,3.10,4.45,2.56,3.20
12X006,P.S. 006 West Farms,53%,77%,N/A,N/A,N/A,N/A,2.47,N/A,4.13
12X044,P.S. 044 David C. Farragut,34%,88%,N/A,2.73,2.20,2.48,2.02,1.91,1.82
12X047,P.S. 047 John Randolph,81%,99%,N/A,3.73,4.21,3.57,2.98,2.76,3.98
12X057,P.S. 057 Crescent,61%,91%,N/A,1.79,1.92,2.64,1.67,2.96,2.62
12X061,P.S. 061 Francisco Oller,46%,67%,N/A,3.05,3.36,2.28,3.77,3.19,2.68
12X066,P.S. 066 School Of Higher Expectations,95%,85%,N/A,N/A,N/A,N/A,2.45,N/A,2.09
12X067,P.S. 067 Mohegan School,50%,95%,N/A,N/A,N/A,N/A,2.73,N/A,2.43
12X092,P.S. 092 Bronx,91%,73%,N/A,N/A,N/A,N/A,2.92,N/A,3.70
12X098,J.H.S. 098 Herman Ridder,52%,100%,91%,N/A,N/A,N/A,2.51,N/A,3.58
12X129,M.S. 129 Academy For Independent Learning And Leadership,53%,85%,93%,4.09,4.19,3.97,3.81,3.70,4.16
12X134,P.S. 134 George F. Bristow,55%,95%,N/A,4.03,3.77,3.03,2.25,2.86,3.17
12X150,P.S. 150 Charles James Fox,51%,87%,N/A,3.59,3.52,2.83,2.94,2.65,3.69
12X190,E.S.M.T- I.S. 190,89%,96%,98%,3.55,3.98,2.45,3.19,3.31,3.32
12X195,P.S. 195,70%,90%,N/A,2.72,3.14,3.15,2.61,2.23,2.63
12X196,P.S. 196,72%,43%,N/A,2.60,2.77,3.16,2.49,2.23,2.02
12X211,P.S. 211,100%,87%,97%,2.03,2.20,2.06,3.26,3.50,2.75
12X212,P.S. 212,57%,83%,96%,3.32,2.59,2.29,2.52,1.49,3.07
12X214,P.S. 214,53%,95%,90%,3.75,3.20,3.93,3.14,2.56,2.98
12X217,School Of Performing Arts,72%,69%,84%,N/A,N/A,N/A,2.41,N/A,2.22
12X242,Mott Hall V,56%,96%,85%,3.61,2.90,4.17,3.71,2.87,3.34
12X248,"Metropolitan High School, The",15%,76%,56%,1.79,1.90,2.14,2.29,2.72,1.89
12X251,Explorations Academy,27%,87%,72%,2.40,1.84,3.19,2.96,3.05,2.89
12X267,Bronx Latin,49%,98%,86%,3.97,3.61,3.93,4.18,4.34,3.97
12X271,East Bronx Academy For The Future,23%,63%,46%,N/A,N/A,N/A,3.19,N/A,3.61
12X273,Frederick Douglass Academy V. Middle School,52%,67%,74%,1.91,2.50,2.17,1.91,1.38,1.86
12X286,Fannie Lou Hamer Middle School,78%,96%,95%,N/A,N/A,N/A,3.25,N/A,3.05
12X300,The School Of Science And Applied Learning,89%,83%,N/A,N/A,N/A,N/A,2.67,N/A,4.15
12X314,Fairmont Neighborhood School,100%,84%,N/A,2.57,2.45,2.15,2.07,2.21,2.47
12X316,Kappa Iii,68%,100%,92%,3.48,2.69,4.17,3.82,3.23,2.87
12X318,"I.S. X318 Math, Science & Technology Through Arts",91%,100%,97%,N/A,N/A,N/A,2.71,N/A,3.18
12X321,Crotona Academy High School,8%,85%,33%,N/A,N/A,N/A,2.04,N/A,2.20
12X341,Accion Academy,98%,100%,97%,2.78,1.75,4.15,3.60,2.57,3.57
12X372,Urban Assembly School For Wildlife Conservation,19%,77%,71%,N/A,N/A,N/A,2.14,N/A,1.60
12X383,Emolior Academy,79%,70%,96%,2.46,2.83,3.08,2.83,2.45,2.05
12X384,Entrada Academy,54%,96%,91%,N/A,N/A,N/A,3.41,N/A,3.99
12X388,Pan American International High School At Monroe,95%,100%,97%,4.92,4.90,4.94,4.40,4.67,4.67
12X428,Learning To Work Yabc At Monroe Academy,60%,93%,48%,3.82,4.32,3.38,2.80,2.97,3.65
12X446,Arturo A. Schomburg Satellite Academy Bronx,92%,100%,85%,2.72,3.56,3.20,3.83,4.14,4.05
12X458,Samara Community School,98%,100%,N/A,4.60,4.77,4.09,3.77,4.20,4.12
12X463,Urban Scholars Community School,75%,97%,N/A,N/A,N/A,N/A,3.50,N/A,4.18
12X478,The Cinema School,34%,100%,89%,N/A,N/A,N/A,3.01,N/A,3.33
12X479,Bronx Career And College Preparatory High School,12%,96%,79%,N/A,N/A,N/A,3.08,N/A,3.68
12X480,Bronx Regional High School,6%,73%,42%,3.27,3.96,2.78,2.67,3.34,3.86
12X511,Bronx Envision Academy,34%,89%,72%,4.35,3.97,3.55,3.03,2.70,3.59
12X521,The Metropolitan Soundview High School,13%,94%,62%,3.45,3.83,3.01,3.25,2.83,3.16
12X531,Archer Elementary School,54%,78%,N/A,3.74,4.48,3.65,3.28,2.97,4.12
12X536,P.S. 536,89%,97%,N/A,4.36,4.13,3.65,2.95,3.61,3.90
12X550,High School Of World Cultures,74%,87%,74%,N/A,N/A,N/A,2.25,N/A,3.07
12X682,Fannie Lou Hamer Freedom High School,80%,97%,74%,3.55,4.02,3.97,3.43,4.67,4.09
12X684,Wings Academy,24%,76%,72%,N/A,N/A,N/A,2.65,N/A,2.48
12X691,Bronx Little School,96%,100%,N/A,3.56,4.08,3.02,2.46,3.29,4.11
12X692,Monroe Academy For Visual Arts & Design,11%,97%,82%,N/A,N/A,N/A,N/A,N/A,N/A
13K003,P.S. 003 The Bedford Village,40%,97%,N/A,3.82,3.56,2.82,3.30,3.61,3.94
13K008,P.S. 008 Robert Fulton,46%,71%,72%,4.04,3.12,4.18,3.35,3.94,2.86
13K009,P.S. 009 Teunis G. Bergen,54%,50%,N/A,4.11,4.27,3.40,3.66,4.36,3.71
13K011,P.S. 011 Purvis J. Behan,74%,81%,N/A,3.62,3.17,4.19,3.81,3.83,3.10
13K020,P.S. 020 Clinton Hill,50%,100%,N/A,4.00,4.74,3.74,3.73,4.14,4.50
13K044,P.S. 044 Marcus Garvey,34%,83%,N/A,3.35,3.00,3.19,2.59,3.40,2.92
13K046,P.S. 046 Edward C. Blum,74%,86%,N/A,4.60,4.06,3.57,2.99,3.09,3.35
13K054,P.S. 054 Samuel C. Barnes,65%,100%,N/A,3.58,4.71,2.67,2.98,3.82,4.06
13K056,P.S. 056 Lewis H. Latimer,94%,89%,N/A,1.96,2.44,2.82,3.26,3.50,2.92
13K067,P.S. 067 Charles A. Dorsey,86%,80%,N/A,N/A,N/A,N/A,3.12,N/A,3.97
13K093,P.S. 093 William H. Prescott,78%,56%,N/A,3.86,4.00,3.25,3.06,3.71,4.16
13K113,M.S. 113 Ronald Edmonds Learning Center,4%,96%,81%,3.17,3.43,3.28,2.95,4.16,3.12
13K133,P.S. 133 William A. Butler,62%,76%,N/A,3.96,4.22,3.92,3.44,3.72,3.58
13K256,P.S. 256 Benjamin Banneker,40%,81%,N/A,3.73,3.40,2.90,2.37,2.97,2.97
13K265,Dr. Susan S. Mckinney Secondary School Of The Arts,44%,81%,75%,3.08,3.29,3.01,2.82,3.56,3.68
13K266,M.S. K266 - Park Place Community Middle School,44%,33%,89%,N/A,N/A,N/A,3.46,N/A,3.41
13K270,P.S. 270 Johann Dekalb,27%,100%,N/A,2.93,3.15,2.62,2.44,3.40,3.62
13K282,P.S. 282 Park Slope,19%,33%,95%,2.92,3.08,3.07,2.42,N/A,N/A
13K287,P.S. 287 Bailey K. Ashford,98%,47%,N/A,3.96,3.61,3.48,3.31,2.44,3.57
13K301,Satellite East Middle School,68%,100%,96%,N/A,N/A,N/A,3.62,N/A,3.30
13K305,P.S. 305 Dr. Peter Ray,76%,46%,N/A,3.07,3.02,3.08,3.58,3.50,3.97
13K307,P.S. 307 Daniel Hale Williams,39%,43%,N/A,3.59,2.53,3.26,3.07,3.20,2.88
13K313,Dock Street School,78%,88%,99%,3.06,3.17,3.20,2.87,3.41,2.74
13K350,Urban Assembly School For Music And Art,30%,75%,60%,3.55,3.55,2.71,2.76,3.12,3.33
13K351,The Urban Assembly Unison School,32%,94%,94%,3.53,3.96,2.45,2.83,4.21,3.61
13K412,"Brooklyn Community High School Of Communication, Arts And Media",15%,76%,77%,4.07,3.59,3.72,3.31,4.31,3.56
13K419,"Science Skills Center High School For Science, Technology And The Creative Arts",21%,89%,83%,3.32,3.41,3.41,3.38,3.76,3.01
13K430,Brooklyn Technical High School,23%,82%,35%,N/A,N/A,N/A,4.07,N/A,3.36
13K439,Brooklyn International High School,84%,100%,89%,4.88,4.66,4.89,4.55,3.83,4.62
13K483,The Urban Assembly School For Law And Justice,66%,100%,86%,4.32,4.34,4.68,3.84,4.28,3.97
13K492,Academy Of Arts And Letters,78%,94%,98%,3.65,3.45,3.98,4.16,4.39,3.75
13K499,Acorn Community High School,4%,68%,70%,N/A,N/A,N/A,3.42,N/A,3.25
13K527,Urban Assembly Institute Of Math And Science For Young Women,47%,100%,90%,4.38,3.91,4.33,2.62,3.25,3.41
13K553,Brooklyn Academy High School,8%,100%,46%,3.78,4.69,3.68,3.91,4.76,4.30
13K575,Bedford Stuyvesant Preparatory High School,0%,92%,0%,3.82,4.67,3.32,N/A,N/A,N/A
13K595,Bedford Academy High School,65%,100%,96%,4.44,4.47,4.79,3.70,4.60,4.09
13K605,George Westinghouse Career And Technical Education High School,43%,93%,78%,4.00,3.61,3.75,3.13,2.92,3.19
13K616,Brooklyn High School For Leadership And Community Service,15%,93%,40%,3.86,4.07,2.64,3.09,2.95,3.78
13K657,Downtown Brooklyn Yabc,6%,63%,24%,3.44,3.69,2.61,N/A,2.56,3.08
13K670,Benjamin Banneker Academy,8%,43%,85%,2.62,2.97,2.75,2.32,N/A,N/A
13K674,"City Polytechnic High School Of Engineering, Architecture, And Technology",27%,89%,0%,3.63,3.51,2.67,N/A,2.62,3.85
13K691,Fort Greene Preparatory Academy,41%,96%,96%,2.84,3.10,2.97,2.46,3.22,2.68
14K016,P.S. 016 Leonard Dunkly,100%,100%,N/A,N/A,N/A,N/A,3.17,N/A,4.07
14K017,P.S. 017 Henry D. Woodworth,61%,97%,N/A,4.05,4.23,3.50,4.10,4.05,3.99
14K018,P.S. 018 Edward Bush,94%,100%,N/A,3.50,3.69,2.58,3.09,3.19,4.23
14K023,P.S. 023 Carter G. Woodson,92%,100%,N/A,3.56,3.94,2.95,2.89,3.96,4.36
14K031,P.S. 031 Samuel F. Dupont,72%,83%,N/A,3.82,3.81,3.70,4.14,3.83,3.76
14K034,P.S. 034 Oliver H. Perry,88%,97%,N/A,4.33,2.89,4.86,3.74,4.15,3.32
14K050,J.H.S. 050 John D. Wells,63%,77%,98%,N/A,N/A,N/A,3.52,N/A,4.32
14K059,P.S. 059 William Floyd,72%,100%,N/A,3.84,4.39,4.08,3.52,3.50,4.32
14K071,Juan Morel Campos Secondary School,61%,92%,77%,N/A,N/A,N/A,3.45,N/A,3.51
14K084,P.S. 084 Jose De Diego,59%,94%,97%,4.47,3.72,3.83,3.23,4.44,3.75
14K110,P.S. 110 The Monitor,84%,100%,N/A,3.70,3.66,4.32,3.92,3.62,4.04
14K120,P.S. 120 Carlos Tapia,84%,97%,N/A,4.86,4.70,4.78,4.09,3.62,4.51
14K126,John Ericsson Middle School 126,90%,97%,92%,N/A,N/A,N/A,3.20,N/A,3.34
14K132,P.S. 132 The Conselyea School,70%,95%,N/A,4.53,3.56,4.66,3.22,4.36,3.75
14K147,P.S. 147 Isaac Remsen,95%,96%,N/A,4.79,4.75,4.16,4.32,4.65,4.41
14K157,P.S./I.S. 157 The Benjamin Franklin Health & Science Academy,69%,90%,90%,3.67,3.95,3.59,3.65,3.43,3.97
14K196,P.S. 196 Ten Eyck,72%,97%,N/A,4.62,4.59,3.97,3.68,4.08,4.69
14K250,P.S. 250 George H. Lindsay,75%,82%,N/A,3.75,3.10,2.74,3.23,3.61,3.72
14K257,P.S. 257 John F. Hylan,79%,100%,N/A,4.25,4.87,3.87,4.44,4.08,4.61
14K297,P.S. 297 Abraham Stockton,77%,100%,N/A,3.35,3.39,3.17,2.87,3.20,3.39
14K318,I.S. 318 Eugenio Maria De Hostos,69%,79%,83%,3.86,4.12,4.05,3.61,3.11,3.87
14K319,P.S. 319,100%,100%,N/A,4.90,4.25,4.04,4.31,4.99,4.57
14K380,P.S. 380 John Wayne Elementary,100%,100%,N/A,4.68,4.29,4.32,3.87,3.72,3.70
14K414,Brooklyn Arbor Elementary School,69%,93%,N/A,4.24,3.79,3.84,3.72,4.36,4.36
14K449,"Brooklyn Latin School, The",20%,71%,90%,4.33,3.92,4.90,3.43,2.53,4.08
14K454,Green School: An Academy For Environmental Careers,25%,84%,71%,3.67,3.68,3.77,2.92,4.11,3.73
14K474,Progress High School For Professional Careers,52%,84%,84%,4.68,4.69,4.32,3.88,4.74,4.04
14K477,School For Legal Studies,23%,100%,72%,3.45,3.41,2.72,2.84,2.96,3.77
14K478,"The High School For Enterprise, Business And Technology",34%,75%,63%,3.44,1.96,3.41,3.42,3.05,2.37
14K488,Brooklyn Preparatory High School,18%,81%,80%,4.57,3.85,3.54,3.39,2.78,3.39
14K558,Williamsburg High School For Architecture And Design,58%,100%,86%,4.60,4.23,4.13,4.69,3.94,4.40
14K561,Williamsburg Preparatory School,52%,100%,88%,4.29,3.75,3.78,3.73,2.93,3.84
14K577,Conselyea Preparatory School,96%,97%,100%,4.62,4.64,4.76,4.03,3.82,4.12
14K582,M.S. 582,76%,96%,98%,3.99,4.45,4.10,4.03,3.51,4.21
14K586,Lyons Community School,13%,98%,77%,3.72,3.74,3.39,2.78,3.03,3.73
14K610,Automotive High School,31%,70%,77%,N/A,N/A,N/A,2.93,N/A,3.60
14K614,Young Women'S Leadership School Of Brooklyn,87%,85%,86%,3.62,4.26,4.04,3.61,4.31,3.55
14K632,Frances Perkins Academy,23%,57%,91%,N/A,N/A,N/A,N/A,N/A,N/A
14K685,El Puente Academy For Peace And Justice,52%,100%,87%,4.57,4.14,4.41,3.90,3.81,4.47
14K923,Automotive High School Yabc,1%,76%,30%,3.09,2.65,3.02,3.15,N/A,N/A
15K001,P.S. 001 The Bergen,37%,55%,N/A,N/A,N/A,N/A,3.02,N/A,2.89
15K010,"Magnet School Of Math, Science And Design Technology",43%,39%,N/A,3.46,3.25,4.72,3.99,4.36,3.97
15K015,P.S. 015 Patrick F. Daly,56%,78%,N/A,4.46,3.64,4.28,3.53,3.20,3.72
15K024,P.S. 024,45%,87%,N/A,2.38,2.71,1.75,2.85,3.08,3.31
15K029,P.S. 029 John M. Harrigan,74%,84%,N/A,4.52,4.03,4.77,4.15,4.57,4.41
15K032,P.S. 032 Samuel Mills Sprole,73%,83%,N/A,3.24,3.35,3.27,2.73,3.61,2.96
15K038,P.S. 038 The Pacific,60%,85%,N/A,4.26,2.61,3.54,3.54,4.47,3.26
15K039,P.S. 039 Henry Bristow,61%,61%,N/A,4.23,3.75,4.74,4.02,4.71,3.43
15K051,M.S. 51 William Alexander,47%,99%,96%,3.49,3.83,3.93,4.19,2.69,3.26
15K058,P.S. 058 The Carroll,53%,78%,N/A,4.59,4.13,4.01,4.16,4.47,4.04
15K088,J.H.S. 088 Peter Rouget,37%,76%,93%,4.21,3.13,4.50,3.91,2.95,3.05
15K094,P.S. 094 The Henry Longfellow,89%,100%,N/A,4.18,3.36,3.47,3.32,2.23,3.45
15K107,P.S. 107 John W. Kimball,83%,59%,N/A,4.57,4.26,4.39,3.72,3.94,3.89
15K118,The Maurice Sendak Community School,82%,100%,N/A,4.85,4.55,4.40,4.38,4.49,4.57
15K124,P.S. 124 Silas B. Dutcher,56%,92%,N/A,1.91,2.42,2.20,3.29,3.08,2.43
15K130,P.S. 130 The Parkside,74%,91%,N/A,4.37,3.86,4.35,4.16,4.05,3.92
15K131,P.S. 131 Brooklyn,68%,95%,N/A,4.75,4.43,4.44,3.93,3.09,4.43
15K136,I.S. 136 Charles O. Dewey,47%,100%,96%,4.47,4.23,3.49,3.79,3.21,4.08
15K146,"The Brooklyn New School, P.S. 146",57%,98%,N/A,4.85,4.62,4.75,3.92,4.71,4.65
15K154,The Windsor Terrace School,61%,81%,N/A,4.47,4.00,3.57,3.92,4.47,3.85
15K169,P.S. 169 Sunset Park,58%,78%,N/A,N/A,N/A,N/A,3.93,N/A,3.03
15K172,P.S. 172 Beacon School Of Excellence,100%,98%,N/A,4.74,4.76,4.90,4.17,3.87,4.51
15K230,P.S. 230 Doris L. Cohen,65%,96%,N/A,3.78,4.17,4.66,4.08,4.05,4.33
15K261,P.S. 261 Philip Livingston,52%,100%,N/A,4.45,3.92,3.91,3.42,4.71,4.44
15K295,P.S. 295,64%,97%,N/A,3.98,3.65,4.63,3.77,4.05,4.01
15K321,P.S. 321 William Penn,51%,66%,N/A,4.88,4.76,4.91,4.32,4.57,4.63
15K418,P.S. 372 -The Children'S School,49%,73%,N/A,N/A,N/A,N/A,N/A,N/A,3.58
15K423,Brooklyn Frontiers High School,17%,92%,44%,4.49,3.53,3.79,3.10,2.54,3.90
15K429,Digital Arts And Cinema Technology High School,29%,86%,98%,3.69,3.99,3.81,N/A,2.66,2.42
15K442,M.S. 442 Carroll Gardens School For Innovation,43%,94%,92%,4.64,4.33,4.17,3.05,3.87,3.92
15K443,New Voices School Of Academic & Creative Arts,49%,76%,100%,4.41,4.13,4.75,3.91,3.42,3.72
15K447,The Math & Science Exploratory School,68%,96%,98%,4.24,3.80,4.27,4.17,4.03,3.93
15K448,Brooklyn Secondary School For Collaborative Studies,20%,89%,82%,4.46,3.98,4.22,3.18,4.15,4.10
15K462,John Jay School For Law,26%,100%,77%,3.69,2.91,4.55,3.14,2.37,2.28
15K463,Secondary School For Journalism,13%,56%,71%,N/A,N/A,N/A,2.29,N/A,2.29
15K464,Park Slope Collegiate,21%,82%,80%,3.92,3.52,3.84,3.32,3.36,3.31
15K497,The Boerum Hill School For International Studies,36%,89%,75%,4.49,3.91,4.22,2.87,3.53,3.63
15K516,Sunset Park Avenues Elementary School,83%,97%,N/A,4.31,3.27,3.98,4.11,3.72,3.93
15K519,Cobble Hill School Of American Studies,20%,87%,42%,3.02,2.57,3.60,3.22,3.65,2.81
15K529,West Brooklyn Community High School,39%,94%,70%,N/A,N/A,N/A,4.35,N/A,4.56
15K592,Khalil Gibran International Academy,54%,92%,73%,3.49,3.51,3.38,3.33,3.53,3.75
15K656,Brooklyn High School Of The Arts,25%,93%,91%,3.87,3.92,3.50,3.55,3.11,3.36
15K667,Sunset Park High School,29%,76%,80%,3.48,2.34,4.32,3.94,3.54,3.15
15K676,Red Hook Neighborhood School,55%,67%,N/A,N/A,N/A,N/A,2.01,N/A,1.75
15K684,Millennium Brooklyn Hs,68%,100%,92%,4.54,4.25,4.10,4.09,3.38,4.28
15K698,South Brooklyn Community High School,27%,100%,51%,4.47,4.13,3.61,3.63,3.60,4.03
15K821,Sunset Park Prep,22%,100%,79%,3.71,3.17,3.08,3.78,2.10,3.36
15K839,M.S. 839,33%,32%,11%,4.00,4.69,3.66,N/A,4.35,4.63
15K863,Pre-K Center At Bishop Ford School Site,54%,41%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16K005,P.S. 005 Dr. Ronald Mcnair,43%,100%,N/A,3.23,2.89,3.31,2.45,3.19,2.94
16K021,P.S. 021 Crispus Attucks,56%,58%,N/A,2.94,3.89,3.87,2.95,3.19,4.03
16K025,P.S. 025 Eubie Blake School,71%,89%,N/A,4.19,4.55,3.86,3.51,3.53,4.40
16K026,P.S. 026 Jesse Owens,94%,84%,N/A,3.78,4.16,4.27,3.23,4.26,4.48
16K028,P.S. 028 The Warren Prep Academy,58%,95%,N/A,4.00,4.19,3.52,3.25,3.51,3.02
16K035,M.S. 035 Stephen Decatur,98%,100%,98%,4.05,4.86,4.15,4.09,4.84,4.34
16K040,P.S. 040 George W. Carver,46%,100%,N/A,4.09,4.72,3.61,4.13,4.29,4.33
16K057,J.H.S. 057 Whitelaw Reid,56%,100%,100%,4.88,4.46,4.91,3.60,3.81,4.19
16K081,P.S. 081 Thaddeus Stevens,88%,97%,N/A,3.74,4.00,3.49,2.61,3.50,3.99
16K243,P.S. 243K- The Weeksville School,34%,93%,N/A,3.05,2.27,2.05,2.37,1.36,1.73
16K262,P.S. 262 El Hajj Malik El Shabazz Elementary School,35%,92%,76%,3.77,3.87,3.73,3.77,4.11,3.98
16K267,"M.S. 267 Math, Science & Technology",74%,100%,97%,3.77,4.37,4.10,3.00,3.83,3.55
16K308,P.S. 308 Clara Cardwell,50%,73%,54%,3.14,3.62,2.93,2.32,2.44,3.01
16K309,P.S. 309 The George E. Wibecan Preparatory Academy,77%,100%,N/A,3.66,3.66,3.33,3.33,3.09,3.12
16K335,P.S. 335 Granville T. Woods,44%,86%,N/A,3.75,3.74,2.35,2.69,3.61,3.73
16K393,Frederick Douglass Academy Iv Secondary School,23%,100%,69%,N/A,N/A,N/A,N/A,N/A,N/A
16K455,Boys And Girls High School,12%,66%,73%,N/A,N/A,N/A,3.60,N/A,3.27
16K498,Brooklyn High School For Law And Technology,20%,55%,62%,2.80,2.72,2.49,2.90,2.27,2.41
16K584,M.S. 584,58%,100%,93%,N/A,N/A,N/A,N/A,N/A,N/A
16K594,Gotham Professional Arts Academy,18%,72%,77%,3.20,2.14,3.94,3.01,3.86,2.87
16K627,Brighter Choice Community School,84%,100%,N/A,4.22,4.04,4.23,3.22,4.71,4.22
16K628,Brooklyn Brownstone School,95%,77%,N/A,4.99,4.74,3.84,3.97,4.47,4.25
16K669,Research And Service High School,10%,53%,32%,N/A,N/A,N/A,3.20,N/A,3.27
16K681,Madiba Prep Middle School,66%,94%,98%,3.66,3.58,3.43,3.34,4.57,4.04
16K688,The Brooklyn Academy Of Global Finance,23%,100%,76%,N/A,N/A,N/A,2.77,N/A,4.76
16K765,Nelson Mandela High School,28%,89%,88%,2.73,2.86,2.50,2.33,3.25,3.07
16K959,Boys And Girls Yabc,31%,72%,55%,3.28,4.59,3.05,4.00,4.16,4.65
17K002,Parkside Preparatory Academy,38%,67%,98%,3.64,4.23,3.67,4.06,3.75,3.65
17K006,Norma Adams Clemons Academy,49%,91%,N/A,4.77,3.91,4.65,3.57,2.87,3.76
17K012,Dr. Jacqueline Peek-Davis School,47%,81%,N/A,3.36,3.65,3.41,3.41,2.97,3.32
17K061,M.S. 061 Dr. Gladstone H. Atwell,43%,83%,82%,2.85,3.73,3.67,2.92,2.76,3.17
17K091,P.S. 091 The Albany Avenue School,90%,100%,N/A,3.58,3.78,3.52,3.51,2.65,2.93
17K092,P.S. 092 Adrian Hegeman,29%,75%,N/A,N/A,N/A,N/A,2.52,N/A,2.91
17K122,Pathways In Technology Early College High School (P-Tech),73%,96%,53%,3.66,4.33,3.61,4.00,4.11,4.02
17K138,P.S. 138 Brooklyn,51%,96%,91%,3.95,4.36,4.79,3.71,4.12,4.18
17K161,P.S. 161 The Crown,21%,50%,N/A,N/A,N/A,N/A,3.49,N/A,3.92
17K181,P.S. 181 Brooklyn,37%,50%,93%,2.55,3.11,2.44,2.62,2.07,2.70
17K189,P.S. 189 The Bilingual Center,58%,62%,99%,4.39,3.73,4.07,3.70,2.77,3.80
17K191,P.S. 191 Paul Robeson,32%,38%,N/A,3.77,4.23,3.94,2.84,3.20,3.43
17K221,P.S. 221 Toussaint L'Ouverture,56%,50%,N/A,4.21,4.55,3.67,2.95,3.71,4.52
17K241,P.S. 241 Emma L. Johnston,70%,89%,N/A,4.37,3.88,4.33,4.14,3.09,3.91
17K246,M.S. 246 Walt Whitman,59%,88%,90%,N/A,N/A,N/A,2.73,N/A,2.86
17K249,P.S. 249 The Caton,96%,90%,N/A,4.76,4.09,4.94,4.22,2.87,4.26
17K289,P.S. 289 George V. Brower,37%,50%,N/A,N/A,N/A,N/A,2.96,N/A,3.72
17K316,P.S. 316 Elijah Stroud,43%,81%,N/A,4.19,3.42,4.37,3.64,3.72,3.90
17K340,I.S. 340,36%,89%,97%,4.47,4.38,3.48,3.26,3.91,3.64
17K352,Ebbets Field Middle School,100%,79%,95%,N/A,N/A,N/A,2.81,N/A,1.69
17K353,Elijah Stroud Middle School,95%,88%,100%,3.78,3.71,3.65,3.61,3.54,3.69
17K354,The School Of Integrated Learning,97%,96%,98%,4.58,4.70,4.93,4.00,4.99,4.59
17K375,P.S. 375 Jackie Robinson School,52%,79%,N/A,2.93,4.08,3.21,2.97,3.08,3.53
17K382,Academy For College Preparation And Career Exploration: A College Board School,9%,83%,43%,2.52,2.81,3.05,3.28,2.16,2.44
17K394,M.S. K394,31%,50%,95%,2.70,3.32,2.64,2.76,1.59,2.69
17K397,P.S. 397 Foster-Laurie,58%,95%,N/A,3.81,3.99,4.16,4.56,3.62,3.93
17K398,P.S. 398 Walter Weaver,97%,44%,N/A,4.29,4.08,4.07,3.91,3.51,4.32
17K399,P.S. 399 Stanley Eugene Clark,31%,24%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17K408,Academy Of Hospitality And Tourism,74%,100%,86%,3.81,3.88,3.27,3.73,4.34,4.13
17K467,Erasmus Yabc,44%,97%,56%,4.40,4.21,3.52,2.80,4.52,4.47
17K484,Ronald Edmonds Learning Center Ii,30%,100%,79%,4.86,4.29,3.83,4.44,4.81,4.86
17K489,W.E.B. Dubois Academic High School,20%,100%,78%,3.68,4.12,3.40,3.28,3.38,4.10
17K524,International High School At Prospect Heights,46%,90%,75%,4.53,4.17,4.70,3.84,3.47,4.38
17K528,The High School For Global Citizenship,62%,94%,97%,4.59,3.96,4.27,4.01,3.17,3.69
17K531,"School For Human Rights, The",65%,96%,99%,4.08,4.23,3.72,3.78,2.73,3.69
17K532,New Bridges Elementary,60%,95%,N/A,3.55,4.31,3.28,3.62,3.82,4.42
17K533,School For Democracy And Leadership,31%,84%,65%,N/A,N/A,N/A,N/A,N/A,N/A
