DBN,School Type,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Percent Satisfaction: Collaborative Teachers,Percent Satisfaction: Effective School Leadership,Percent Satisfaction: Rigorous Instruction,Percent Satisfaction: Strong Family-Community Ties,Percent Satisfaction: Supportive Environment,Percent Satisfaction: Trust,Percent Satisfaction: Parent,Percent Satisfaction: Student,Percent Satisfaction: Teacher
09X215,Middle School,Kappa,83%,75%,97%,86%,77%,88%,75%,84%,88%,84%,84%,85%
09X218,Elementary/Middle,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,67%,77%,99%,84%,76%,89%,82%,89%,88%,91%,88%,84%
09X219,Middle School,I.S. 219 New Venture School,55%,83%,90%,66%,63%,82%,70%,81%,79%,86%,81%,68%
09X227,High School,Bronx Collegiate Academy,23%,88%,62%,94%,94%,85%,79%,86%,94%,89%,85%,94%
09X229,Middle School,I.S. 229 Roland Patterson,71%,77%,96%,65%,63%,78%,81%,83%,81%,89%,84%,66%
09X230,Elementary School,P.S. 230 Dr Roland N. Patterson,56%,79%,N/A,96%,82%,98%,91%,85%,95%,93%,N/A,91%
09X231,Middle/High,Eagle Academy for Young Men,30%,60%,78%,86%,83%,82%,85%,77%,89%,89%,76%,88%
09X232,Middle School,I.S. 232,62%,83%,92%,65%,59%,78%,78%,82%,79%,92%,83%,63%
09X236,Elementary School,P.S. 236 Langston Hughes,71%,91%,N/A,93%,85%,93%,87%,92%,93%,94%,N/A,91%
09X241,Middle/High,"Urban Assembly School for Applied Math and Science, The",27%,98%,66%,82%,79%,82%,77%,80%,86%,86%,79%,83%
09X250,High School,Eximius College Preparatory Academy: A College Board School,33%,94%,95%,92%,88%,90%,86%,86%,93%,95%,84%,91%
09X252,High School,Mott Hall Bronx High School,13%,96%,80%,84%,78%,75%,76%,82%,89%,93%,80%,80%
09X260,High School,Bronx Center for Science and Mathematics,49%,93%,97%,91%,87%,83%,75%,86%,93%,90%,85%,89%
09X263,High School,Validus Preparatory Academy: An Expeditionary Learning School,10%,88%,25%,81%,78%,77%,76%,82%,89%,87%,80%,82%
09X274,Early Childhood,The New American Academy at Roberto Clemente State Park,55%,100%,N/A,95%,95%,92%,87%,96%,96%,93%,N/A,95%
09X276,High School,Leadership Institute,50%,86%,66%,85%,74%,84%,86%,79%,93%,91%,77%,86%
09X294,Early Childhood,The Walton Avenue School,93%,100%,N/A,95%,94%,96%,87%,96%,94%,95%,N/A,94%
09X297,High School,Morris Academy for Collaborative Studies,20%,94%,77%,82%,87%,87%,74%,83%,88%,88%,82%,85%
09X303,Middle School,I.S. X303 Leadership & Community Service,88%,100%,91%,93%,92%,82%,80%,86%,93%,90%,85%,91%
09X311,Early Childhood,Lucero Elementary School,88%,89%,N/A,97%,93%,98%,86%,98%,97%,94%,N/A,96%
09X313,Middle School,I.S. 313 School of Leadership Development,48%,81%,84%,80%,60%,73%,75%,78%,79%,79%,77%,75%
09X323,Middle School,Bronx Writing Academy,38%,88%,79%,78%,70%,81%,78%,81%,87%,93%,82%,75%
09X324,Middle/High,Bronx Early College Academy for Teaching & Learning,35%,100%,83%,94%,88%,90%,74%,84%,90%,83%,83%,94%
09X325,Middle School,Urban Science Academy,25%,77%,90%,75%,72%,77%,84%,84%,87%,92%,83%,75%
09X327,Middle/High,Comprehensive Model School Project M.S. 327,33%,91%,81%,94%,91%,93%,79%,85%,93%,91%,82%,95%
09X328,Middle School,New Millennium Business Academy Middle School,68%,100%,75%,93%,82%,90%,80%,84%,89%,88%,82%,91%
09X329,High School,DreamYard Preparatory School,51%,100%,89%,97%,94%,96%,85%,88%,96%,92%,88%,97%
09X339,Middle School,I.S. 339,55%,48%,87%,75%,66%,82%,77%,77%,77%,85%,75%,73%
09X350,Middle School,New Directions Secondary School,65%,100%,84%,71%,67%,66%,78%,93%,89%,92%,98%,66%
09X361,Middle School,The Highbridge Green School,88%,100%,96%,93%,94%,94%,85%,94%,95%,92%,94%,94%
09X365,High School,Academy for Language and Technology,87%,100%,99%,89%,85%,86%,77%,91%,89%,88%,90%,86%
09X403,High School,Bronx International High School,67%,91%,90%,91%,80%,92%,80%,87%,93%,90%,88%,89%
09X404,High School,School for Excellence,56%,93%,77%,84%,86%,91%,74%,79%,89%,93%,77%,86%
09X412,High School,Bronx High School of Business,28%,88%,87%,74%,59%,81%,72%,78%,77%,79%,77%,71%
09X413,Middle/High,Bronx High School for Medical Science,12%,100%,98%,92%,81%,90%,81%,82%,91%,86%,80%,92%
09X414,High School,Jonathan Levin High School for Media and Communications,52%,80%,74%,90%,90%,84%,89%,80%,92%,94%,78%,90%
09X443,Elementary School,The Family School,78%,50%,N/A,93%,82%,95%,83%,90%,94%,90%,N/A,91%
09X449,Elementary School,Grant Avenue Elementary School,78%,86%,N/A,90%,89%,93%,90%,88%,94%,95%,N/A,90%
09X454,Middle School,Science and Technology Academy: A Mott Hall School,81%,100%,92%,98%,98%,96%,84%,95%,98%,94%,94%,98%
09X457,Elementary School,Sheridan Academy for Young Leaders,75%,100%,N/A,92%,81%,90%,87%,84%,92%,91%,N/A,87%
09X505,Middle/High,"Bronx School for Law, Government and Justice",41%,98%,60%,80%,76%,82%,71%,80%,85%,86%,79%,79%
09X517,High School,Frederick Douglass Academy III Secondary School,50%,90%,94%,84%,76%,85%,82%,85%,83%,85%,84%,82%
09X525,High School,Bronx Leadership Academy High School,14%,82%,43%,74%,70%,78%,73%,73%,85%,86%,73%,75%
09X543,High School,High School for Violin and Dance,17%,92%,72%,71%,70%,78%,74%,74%,83%,86%,72%,73%
09X555,Early Childhood,Mount Eden Children's Academy,92%,100%,N/A,97%,95%,96%,91%,99%,99%,97%,N/A,97%
09X564,High School,Claremont International HS,56%,100%,86%,88%,78%,79%,82%,84%,87%,87%,82%,85%
09X568,Middle School,Young Women's Leadership School of the Bronx,85%,100%,96%,98%,98%,94%,84%,86%,94%,92%,84%,99%
10X003,Elementary/Middle,P.S. 3 Raul Julia Micro Society,60%,69%,97%,90%,83%,97%,83%,87%,91%,91%,85%,91%
10X007,Elementary School,P.S. 007 Kingsbridge,87%,100%,N/A,97%,92%,97%,88%,98%,99%,96%,N/A,97%
10X008,Elementary School,P.S. 008 Issac Varian,19%,66%,N/A,90%,80%,89%,79%,93%,92%,89%,N/A,89%
10X009,Elementary School,P.S. 9 Ryer Avenue Elementary School,47%,97%,N/A,87%,71%,91%,83%,88%,88%,91%,N/A,83%
10X015,Elementary/Middle,P.S. X015 Institute for Environmental Learning,68%,100%,98%,86%,79%,86%,84%,85%,91%,93%,81%,86%
10X020,Elementary/Middle,"PS/MS 20 P.O.George J. Werdann, III",70%,50%,96%,82%,69%,88%,75%,84%,85%,84%,82%,80%
10X023,Elementary School,P.S. 023 The New Children's School,42%,93%,N/A,89%,78%,79%,81%,82%,91%,92%,N/A,83%
10X024,Elementary School,P.S. 024 Spuyten Duyvil,38%,88%,N/A,71%,57%,82%,85%,86%,77%,90%,N/A,71%
10X032,Elementary School,P.S. 032 Belmont,82%,92%,N/A,96%,89%,97%,84%,96%,97%,92%,N/A,96%
10X037,Elementary/Middle,P.S. X037 - Multiple Intelligence School,37%,91%,97%,92%,86%,93%,88%,85%,92%,94%,82%,92%
10X045,Middle School,Thomas C. Giordano Middle School 45,34%,47%,94%,86%,75%,87%,73%,82%,88%,85%,81%,85%
10X046,Elementary School,P.S. 046 Edgar Allan Poe,52%,90%,N/A,87%,76%,90%,81%,89%,92%,90%,N/A,86%
10X051,Elementary School,P.S. 051 Bronx New School,85%,78%,N/A,90%,84%,99%,83%,98%,96%,94%,N/A,92%
10X054,Elementary School,P.S. / I.S. 54,95%,94%,N/A,87%,79%,91%,84%,88%,90%,93%,N/A,86%
10X056,Elementary School,P.S. 056 Norwood Heights,77%,100%,N/A,93%,88%,97%,82%,93%,95%,92%,N/A,93%
10X059,Elementary School,P.S. 059 The Community School of Technology,100%,100%,N/A,94%,89%,94%,92%,92%,96%,96%,N/A,92%
10X077,Early Childhood,Bedford Park Elementary School,55%,86%,N/A,96%,88%,93%,84%,100%,96%,91%,N/A,95%
10X080,Middle School,J.H.S. 080 The Mosholu Parkway,26%,67%,71%,79%,70%,87%,74%,81%,84%,86%,82%,78%
10X081,Elementary School,P.S. 081 Robert J. Christen,97%,100%,N/A,92%,83%,93%,90%,99%,96%,95%,N/A,93%
10X085,Elementary School,P.S. 085 Great Expectations,38%,73%,N/A,82%,70%,84%,81%,82%,85%,89%,N/A,80%
10X086,Elementary School,P.S. 086 Kingsbridge Heights,40%,96%,94%,95%,88%,95%,83%,93%,96%,93%,91%,94%
10X091,Elementary School,P.S. 091 Bronx,30%,54%,N/A,76%,66%,82%,78%,80%,75%,88%,N/A,72%
10X094,Elementary School,P.S. 094 Kings College School,51%,73%,N/A,86%,74%,86%,82%,88%,93%,90%,N/A,85%
10X095,Elementary/Middle,P.S. 095 Sheila Mencher,77%,25%,88%,71%,63%,85%,87%,84%,82%,94%,81%,70%
10X118,Middle School,J.H.S. 118 William W. Niles,56%,58%,87%,76%,69%,84%,69%,83%,88%,84%,82%,78%
10X141,Middle/High,Riverdale / Kingsbridge Academy (Middle School / High School 141),18%,85%,86%,81%,75%,84%,75%,82%,86%,87%,80%,82%
10X159,Elementary School,P.S. 159 Luis Munoz Marin Biling,85%,100%,N/A,99%,93%,99%,93%,96%,100%,94%,N/A,98%
10X205,Elementary School,P.S. 205 Fiorello Laguardia,86%,97%,N/A,91%,80%,88%,83%,93%,94%,92%,N/A,90%
10X206,Middle School,I.S. 206 Ann Mersereau,100%,75%,87%,91%,83%,89%,84%,83%,94%,94%,81%,90%
10X207,Early Childhood,P.S. 207,62%,62%,N/A,81%,79%,84%,83%,92%,81%,85%,N/A,82%
10X209,Early Childhood,P.S. 209,86%,86%,N/A,96%,90%,93%,89%,99%,95%,95%,N/A,94%
10X213,High School,Bronx Engineering and Technology Academy,30%,72%,66%,85%,74%,85%,70%,76%,86%,83%,73%,83%
10X225,Middle/High,Theatre Arts Production Company School,28%,95%,89%,87%,80%,84%,76%,81%,91%,86%,79%,87%
10X226,Elementary School,P.S. 226,37%,76%,N/A,80%,70%,82%,81%,86%,85%,90%,N/A,78%
10X228,Middle School,Jonas Bronck Academy,89%,95%,97%,92%,86%,91%,86%,92%,94%,95%,91%,90%
10X237,High School,"The Marie Curie School for Medicine, Nursing, and Health Professions",20%,44%,51%,78%,70%,84%,74%,79%,85%,89%,77%,77%
10X243,Middle/High,West Bronx Academy for the Future,39%,85%,85%,85%,82%,84%,74%,81%,89%,84%,80%,86%
10X244,Middle School,The New School for Leadership and Journalism,27%,75%,78%,88%,86%,92%,84%,89%,92%,93%,88%,89%
10X246,Elementary School,P.S. 246 Poe Center,42%,65%,N/A,82%,67%,81%,84%,86%,91%,91%,N/A,80%
10X254,Middle School,I.S. 254,28%,89%,66%,83%,74%,77%,76%,83%,88%,88%,81%,81%
10X264,High School,Bronx Academy for Software Engineering (BASE),14%,100%,72%,89%,87%,81%,81%,87%,95%,90%,86%,88%
10X268,High School,Kingsbridge International High School,33%,92%,68%,87%,86%,83%,77%,84%,91%,89%,85%,86%
10X279,Elementary/Middle,"P.S. 279 Captain Manuel Rivera, Jr.",58%,98%,96%,92%,89%,90%,87%,88%,93%,93%,87%,92%
10X280,Elementary/Middle,P.S./M.S. 280 Mosholu Parkway,43%,79%,65%,92%,84%,95%,81%,96%,94%,90%,97%,91%
10X284,High School,Bronx School of Law and Finance,2%,70%,51%,74%,75%,86%,80%,77%,88%,88%,76%,78%
10X291,Elementary School,P.S. 291,93%,98%,N/A,96%,93%,97%,86%,97%,98%,96%,N/A,95%
10X306,Elementary School,P.S. 306,56%,83%,N/A,76%,69%,86%,84%,88%,85%,92%,N/A,77%
10X307,Elementary School,Luisa Pineiro Fuentes School of Science and Discovery,100%,77%,N/A,93%,85%,91%,84%,90%,96%,93%,N/A,90%
10X308,Middle School,Bronx Dance Academy School,75%,100%,96%,86%,74%,89%,73%,86%,86%,85%,85%,83%
10X310,Elementary School,P.S. 310 Marble Hill,65%,98%,N/A,84%,74%,93%,82%,92%,86%,91%,N/A,84%
10X315,Elementary/Middle,P.S. 315 Lab School,79%,90%,100%,93%,90%,95%,87%,80%,89%,94%,76%,93%
10X319,Transfer High School,Providing Urban Learners Success In Education High School,11%,100%,86%,94%,92%,88%,76%,88%,92%,84%,83%,95%
10X331,Middle School,The Bronx School of Young Leaders,52%,91%,94%,86%,81%,85%,84%,85%,90%,91%,84%,86%
10X340,Elementary School,P.S. 340,93%,98%,N/A,95%,86%,90%,83%,93%,97%,92%,N/A,93%
10X342,Middle/High,International School for Liberal Arts,35%,86%,85%,93%,88%,91%,82%,87%,92%,90%,86%,93%
10X344,Elementary School,Ampark Neighborhood,73%,95%,N/A,95%,91%,95%,91%,94%,96%,93%,N/A,94%
10X351,High School,Bronx Collaborative High School,9%,100%,69%,99%,97%,97%,80%,86%,95%,92%,84%,99%
10X353,High School,World View High School,81%,100%,94%,97%,96%,97%,77%,84%,93%,86%,82%,99%
10X360,Elementary School,P.S. 360,64%,94%,N/A,82%,67%,88%,79%,90%,86%,85%,N/A,82%
10X363,Middle School,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,79%,87%,93%,91%,90%,92%,80%,87%,93%,89%,86%,93%
10X368,Middle/High,In-Tech Academy (M.S. / High School 368),29%,79%,82%,73%,64%,77%,71%,81%,84%,87%,80%,73%
10X374,High School,Knowledge and Power Preparatory Academy International High School (Kappa),77%,100%,88%,95%,92%,88%,77%,88%,93%,89%,88%,93%
10X382,Elementary School,"Elementary School for Math, Science, and Technology",79%,100%,N/A,89%,85%,91%,78%,90%,93%,90%,N/A,89%
10X386,Elementary School,School for Environmental Citizenship,84%,100%,N/A,83%,72%,83%,83%,89%,86%,91%,N/A,81%
10X390,Middle School,M.S. 390,63%,67%,84%,84%,80%,84%,77%,82%,86%,91%,81%,82%
10X391,Middle School,The Angelo Patri Middle School,39%,86%,83%,84%,78%,86%,80%,82%,88%,87%,81%,84%
10X396,Elementary School,P.S. 396,55%,94%,N/A,87%,81%,86%,87%,87%,90%,94%,N/A,84%
10X397,Transfer High School,English Language Learners and International Support Preparatory Academy (ELLIS),29%,75%,77%,92%,86%,88%,82%,89%,95%,91%,89%,91%
10X433,High School,High School for Teaching and the Professions,25%,91%,65%,94%,91%,83%,85%,84%,92%,93%,82%,92%
10X434,High School,Belmont Preparatory High School,22%,67%,68%,86%,78%,86%,67%,84%,88%,84%,84%,84%
10X437,High School,Fordham High School for the Arts,35%,94%,78%,85%,80%,86%,67%,89%,89%,89%,88%,83%
10X438,High School,Fordham Leadership Academy for Business and Technology,34%,97%,87%,86%,78%,85%,75%,79%,86%,85%,78%,85%
10X439,High School,Bronx High School for Law and Community Service,21%,90%,93%,93%,92%,86%,73%,81%,93%,86%,80%,93%
10X440,High School,DeWitt Clinton High School,23%,68%,38%,80%,70%,80%,63%,79%,83%,76%,78%,78%
10X442,High School,"Celia Cruz Bronx High School of Music, The",34%,97%,88%,81%,77%,81%,77%,79%,86%,85%,77%,82%
10X445,High School,Bronx High School of Science,33%,39%,92%,83%,81%,80%,68%,87%,89%,87%,84%,83%
10X447,Middle School,Creston Academy,100%,98%,98%,93%,90%,91%,87%,86%,93%,93%,85%,94%
10X459,Middle School,East Fordham Academy for the Arts,26%,69%,84%,78%,71%,77%,78%,83%,83%,87%,82%,76%
10X477,High School,Marble Hill High School for International Studies,43%,90%,94%,87%,81%,85%,73%,89%,93%,90%,88%,86%
10X503,YABC,Walton Yabc,6%,72%,38%,97%,95%,88%,74%,89%,98%,93%,88%,96%
10X504,YABC,Kennedy Yabc,31%,56%,46%,87%,83%,83%,88%,89%,94%,98%,89%,83%
10X524,High School,Crotona International High School,31%,60%,77%,78%,84%,78%,77%,83%,88%,91%,82%,80%
10X546,High School,Bronx Theatre High School,85%,100%,87%,87%,74%,79%,97%,75%,84%,100%,71%,80%
10X549,High School,Discovery High School,12%,81%,33%,96%,94%,91%,83%,84%,96%,96%,81%,96%
10X565,High School,High School for Energy and Technology,13%,96%,74%,92%,94%,86%,75%,84%,95%,91%,84%,92%
10X660,High School,Grace Dodge Career and Technical Education High School,16%,82%,63%,76%,71%,73%,72%,80%,81%,85%,78%,74%
10X667,YABC,Grace Dodge Yabc,44%,100%,88%,97%,88%,89%,76%,90%,96%,89%,91%,94%
10X696,High School,High School of American Studies at Lehman College,47%,96%,95%,92%,95%,88%,78%,91%,96%,93%,87%,93%
11X016,Elementary School,P.S. 016 Wakefield,27%,100%,N/A,87%,81%,90%,85%,90%,88%,90%,N/A,86%
11X019,Elementary/Middle,P.S. 019 Judith K. Weiss,54%,100%,96%,96%,94%,96%,83%,89%,95%,92%,86%,97%
11X021,Elementary School,P.S. 021 Philip H. Sheridan,32%,85%,N/A,91%,76%,88%,79%,86%,93%,86%,N/A,87%
11X041,Elementary School,P.S. 041 Gun Hill Road,77%,78%,N/A,95%,92%,97%,87%,94%,96%,94%,N/A,95%
11X068,Elementary School,P.S. 068 Bronx,29%,67%,N/A,81%,70%,87%,82%,87%,80%,89%,N/A,79%
11X076,Elementary School,P.S. 076 The Bennington School,64%,89%,N/A,79%,67%,88%,83%,88%,85%,92%,N/A,79%
11X078,Elementary School,P.S. 078 Anne Hutchinson,68%,100%,N/A,90%,77%,89%,80%,91%,89%,85%,N/A,88%
11X083,Elementary/Middle,P.S. 083 Donald Hertz,56%,97%,81%,87%,76%,85%,77%,84%,87%,90%,82%,83%
11X087,Elementary School,P.S. 087 Bronx,67%,65%,N/A,85%,82%,91%,82%,84%,92%,93%,N/A,84%
11X089,Elementary/Middle,P.S. 089 Bronx,34%,90%,90%,85%,82%,88%,78%,82%,87%,88%,81%,85%
11X096,Elementary School,P.S. 096 Richard Rodgers,56%,93%,N/A,94%,86%,95%,82%,96%,94%,90%,N/A,94%
11X097,Elementary School,P.S. 097 Bronx,27%,63%,N/A,81%,68%,93%,87%,92%,86%,95%,N/A,81%
11X103,Elementary School,P.S. 103 Hector Fontanez,39%,95%,N/A,94%,88%,94%,81%,94%,95%,89%,N/A,94%
11X105,Elementary School,P.S. 105 Sen Abraham Bernstein,30%,90%,N/A,77%,64%,88%,73%,88%,80%,86%,N/A,76%
11X106,Elementary School,P.S. 106 Parkchester,68%,100%,N/A,92%,85%,94%,82%,92%,94%,91%,N/A,92%
11X108,Elementary School,P.S. 108 Philip J. Abinanti,53%,53%,N/A,80%,67%,92%,79%,93%,84%,92%,N/A,79%
11X111,Elementary School,P.S. 111 Seton Falls,39%,56%,N/A,64%,50%,78%,77%,79%,73%,88%,N/A,64%
11X112,Elementary School,P.S. 112 Bronxwood,51%,100%,N/A,94%,87%,90%,85%,91%,96%,91%,N/A,93%
11X121,Elementary School,P.S. 121 Throop,72%,100%,N/A,83%,66%,91%,80%,95%,85%,89%,N/A,82%
11X127,Middle School,J.H.S. 127 The Castle Hill,21%,44%,94%,93%,89%,90%,76%,84%,93%,87%,82%,94%
11X142,Middle School,MS 142 John Philip Sousa,51%,82%,92%,86%,70%,82%,79%,73%,87%,87%,69%,83%
11X144,Middle School,J.H.S. 144 Michelangelo,33%,96%,91%,91%,84%,89%,73%,83%,86%,85%,81%,89%
11X153,Elementary School,P.S. 153 Helen Keller,37%,88%,N/A,91%,84%,90%,85%,90%,96%,90%,N/A,90%
11X160,Elementary School,P.S. 160 Walt Disney,65%,92%,N/A,90%,82%,91%,83%,93%,94%,92%,N/A,90%
11X169,Elementary School,BAYCHESTER ACADEMY,65%,96%,N/A,93%,88%,96%,86%,96%,91%,92%,N/A,92%
11X175,Elementary/Middle,P.S. 175 City Island,39%,92%,95%,96%,88%,93%,87%,85%,90%,86%,81%,97%
11X178,Elementary School,P.S. 178 - Dr. Selman Waksman,72%,88%,N/A,83%,75%,93%,78%,88%,88%,86%,N/A,84%
11X180,Middle School,M.S. 180 Dr. Daniel Hale Williams,83%,81%,100%,94%,90%,87%,94%,86%,94%,97%,82%,93%
11X181,Middle School,I.S. 181 Pablo Casals,26%,78%,87%,90%,84%,87%,77%,86%,91%,89%,82%,90%
11X189,Elementary School,Cornerstone Academy for Social Action,55%,100%,N/A,92%,88%,88%,84%,84%,94%,93%,N/A,89%
11X194,Elementary/Middle,PS/MS 194,44%,84%,95%,87%,79%,92%,76%,85%,88%,87%,84%,86%
11X249,High School,Bronx Health Sciences High School,15%,85%,74%,82%,73%,79%,72%,80%,87%,84%,78%,81%
11X253,High School,Bronx High School for Writing and Communication Arts,18%,69%,57%,88%,87%,83%,76%,84%,92%,88%,83%,88%
11X265,High School,Bronx Lab School,19%,94%,45%,82%,76%,82%,77%,73%,85%,87%,72%,81%
11X270,High School,Academy for Scholarship and Entrepreneurship: A College Board School,16%,78%,57%,91%,88%,88%,74%,77%,89%,87%,73%,92%
11X272,Middle School,Globe School for Environmental Research,64%,83%,97%,82%,70%,88%,77%,79%,80%,86%,80%,78%
11X275,High School,High School of Computers and Technology,9%,88%,87%,90%,85%,90%,72%,87%,94%,90%,84%,90%
11X287,Middle School,The Forward School,39%,100%,87%,84%,84%,86%,73%,78%,88%,83%,77%,86%
11X288,High School,Collegiate Institute for Math and Science,16%,83%,85%,65%,54%,80%,69%,80%,77%,87%,79%,62%
11X289,Middle School,The Young Scholars Academy of The Bronx,34%,72%,84%,90%,82%,90%,75%,74%,88%,83%,72%,91%
11X290,High School,Bronx Academy of Health Careers,12%,100%,59%,86%,80%,84%,72%,77%,84%,82%,75%,86%
11X299,High School,Astor Collegiate Academy,10%,100%,88%,88%,81%,75%,71%,73%,83%,78%,69%,86%
11X355,Middle School,Bronx Alliance Middle School,37%,68%,94%,89%,82%,84%,84%,82%,92%,96%,81%,87%
11X357,Early Childhood,Young Voices Academy of the Bronx,86%,100%,N/A,99%,97%,98%,89%,100%,99%,95%,N/A,99%
11X370,Middle School,School of Diplomacy,44%,95%,66%,88%,88%,93%,77%,81%,91%,87%,81%,91%
11X417,YABC,C Columbus Hs Yabc,49%,62%,62%,92%,85%,85%,84%,93%,97%,95%,93%,90%
11X418,High School,Bronx High School for the Visual Arts,31%,41%,76%,62%,61%,79%,69%,74%,77%,87%,74%,63%
11X455,High School,Harry S Truman High School,10%,53%,51%,90%,86%,84%,70%,76%,88%,79%,75%,90%
11X462,Middle School,Cornerstone Academy for Social Action Middle School (CASA),50%,84%,82%,84%,79%,91%,78%,86%,90%,92%,86%,83%
11X468,Middle School,Pelham Academy of Academics and Community Engagement,55%,100%,95%,93%,89%,86%,83%,90%,90%,91%,88%,91%
11X498,Elementary/Middle,PS/MS 11X498 - VAN NEST ACADEMY,64%,98%,68%,88%,86%,91%,82%,87%,90%,92%,85%,88%
11X508,High School,Bronxdale High School,39%,100%,89%,92%,90%,89%,76%,80%,92%,89%,79%,92%
11X509,High School,High School of Language and Innovation,70%,88%,55%,95%,92%,90%,88%,80%,92%,92%,78%,94%
11X513,High School,New World High School,64%,90%,99%,91%,81%,89%,73%,85%,91%,84%,86%,89%
11X514,High School,The Bronxwood Preparatory Academy,34%,57%,76%,89%,82%,88%,74%,78%,88%,83%,78%,88%
11X529,Middle School,One World Middle School at Edenwald,53%,91%,96%,90%,88%,89%,79%,84%,93%,88%,84%,91%
11X532,Middle School,Baychester Middle School,70%,100%,85%,83%,80%,85%,80%,89%,84%,92%,88%,81%
11X542,High School,Pelham Preparatory Academy,17%,86%,92%,91%,83%,84%,69%,82%,92%,87%,80%,89%
11X544,High School,High School for Contemporary Arts,6%,45%,74%,81%,65%,84%,64%,66%,81%,80%,63%,78%
11X545,High School,Bronx Aerospace High School,31%,79%,85%,79%,70%,85%,64%,77%,82%,77%,76%,79%
11X556,Middle School,Bronx Park Middle School,22%,97%,83%,88%,83%,89%,84%,80%,90%,91%,79%,88%
11X566,Middle School,Pelham Gardens Middle School,92%,97%,96%,91%,88%,84%,78%,87%,94%,89%,87%,90%
11X567,Early Childhood,Linden Tree Elementary School,86%,90%,N/A,94%,89%,97%,87%,99%,96%,95%,N/A,93%
12X006,Elementary School,P.S. 006 West Farms,40%,71%,N/A,88%,67%,89%,82%,83%,88%,88%,N/A,82%
12X044,Elementary School,P.S. 044 David C. Farragut,40%,89%,N/A,73%,51%,94%,81%,72%,74%,86%,N/A,69%
12X047,Elementary School,P.S. 047 John Randolph,79%,92%,N/A,94%,84%,97%,85%,96%,94%,93%,N/A,93%
12X050,Elementary School,P.S. 050 Clara Barton,82%,100%,N/A,93%,93%,95%,86%,90%,96%,91%,N/A,93%
12X057,Elementary School,P.S. 057 Crescent,62%,100%,N/A,95%,88%,95%,84%,95%,94%,91%,N/A,94%
12X061,Elementary School,P.S. 061 Francisco Oller,18%,46%,N/A,87%,71%,94%,89%,92%,77%,89%,N/A,83%
12X066,Elementary School,P.S. 066 School of Higher Expectations,52%,76%,N/A,85%,69%,87%,82%,87%,87%,90%,N/A,81%
12X067,Elementary School,P.S. 067 Mohegan School,29%,71%,N/A,84%,73%,87%,80%,85%,79%,88%,N/A,79%
12X092,Elementary School,P.S. 092 Bronx,45%,58%,N/A,78%,65%,82%,85%,81%,85%,91%,N/A,76%
12X098,Middle School,J.H.S. 098 Herman Ridder,59%,88%,93%,90%,87%,85%,91%,76%,92%,95%,74%,90%
12X129,Middle School,M.S. 129 Academy for Independent Learning and Leadership,56%,91%,89%,92%,88%,89%,83%,86%,94%,95%,84%,91%
12X134,Elementary School,P.S. 134 George F. Bristow,66%,90%,N/A,84%,72%,83%,82%,87%,84%,88%,N/A,82%
12X150,Elementary School,P.S. 150 Charles James Fox,71%,84%,N/A,91%,81%,92%,84%,90%,93%,91%,N/A,89%
12X190,Middle School,E.S.M.T- I.S. 190,68%,100%,99%,84%,74%,87%,77%,80%,82%,87%,77%,82%
12X195,Elementary School,P.S. 195,64%,67%,N/A,91%,82%,90%,85%,89%,92%,91%,N/A,89%
12X196,Elementary School,P.S. 196,53%,24%,N/A,74%,69%,82%,76%,79%,77%,89%,N/A,72%
12X211,Elementary/Middle,P.S. 211,60%,80%,95%,79%,65%,87%,82%,86%,81%,89%,85%,76%
12X212,Elementary/Middle,P.S. 212,50%,71%,91%,90%,84%,89%,78%,84%,90%,84%,82%,91%
12X214,Elementary/Middle,P.S. 214,36%,95%,86%,89%,86%,85%,78%,82%,90%,90%,80%,88%
12X217,Middle School,School of Performing Arts,23%,58%,81%,77%,73%,79%,82%,71%,82%,90%,69%,76%
12X242,Middle/High,Mott Hall V,67%,100%,89%,87%,80%,82%,74%,89%,92%,90%,88%,86%
12X248,High School,"Metropolitan High School, The",15%,62%,56%,87%,82%,80%,74%,86%,90%,87%,84%,85%
12X251,High School,Explorations Academy,34%,68%,66%,80%,77%,78%,74%,83%,88%,88%,83%,80%
12X267,Middle/High,Bronx Latin,66%,100%,88%,97%,96%,93%,87%,91%,96%,94%,90%,97%
12X271,Middle/High,East Bronx Academy for the Future,7%,78%,31%,91%,92%,85%,75%,84%,93%,85%,83%,92%
12X273,Middle School,Frederick Douglass Academy V. Middle School,51%,100%,94%,92%,89%,81%,78%,80%,92%,89%,78%,91%
12X278,High School,Peace and Diversity Academy,63%,100%,86%,85%,78%,79%,78%,82%,90%,83%,83%,84%
12X286,Middle School,Fannie Lou Hamer Middle School,42%,100%,67%,94%,93%,89%,80%,86%,94%,93%,85%,93%
12X300,Elementary School,The School of Science and Applied Learning,24%,80%,N/A,94%,90%,93%,88%,91%,96%,92%,N/A,93%
12X314,Early Childhood,Fairmont Neighborhood School,67%,59%,N/A,76%,67%,70%,82%,90%,84%,91%,N/A,73%
12X316,Middle School,Kappa III,57%,100%,81%,93%,89%,92%,80%,86%,94%,92%,84%,93%
12X318,Middle School,"I.S. X318 Math, Science & Technology Through Arts",58%,100%,93%,79%,73%,85%,79%,83%,90%,90%,83%,81%
