DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Percent Satisfaction: Collaborative Teachers,Percent Satisfaction: Effective School Leadership,Percent Satisfaction: Rigorous Instruction,Percent Satisfaction: Strong Family-Community Ties,Percent Satisfaction: Supportive Environment,Percent Satisfaction: Trust,Percent Satisfaction: Parent,Percent Satisfaction: Student,Percent Satisfaction: Teacher
13K350,Urban Assembly High School Of Music And Art,9%,56%,78%,66%,66%,74%,71%,65%,66%,71%,68%,67%
13K351,The Urban Assembly Unison School,60%,93%,99%,80%,85%,69%,92%,71%,88%,94%,71%,80%
13K412,"Brooklyn Community High School Of Communication, Arts And Media",11%,100%,84%,89%,93%,85%,84%,69%,91%,94%,70%,90%
13K419,"Science Skills Center High School For Science, Technology And The Creative Arts",9%,71%,78%,62%,68%,74%,85%,53%,74%,93%,55%,66%
13K430,Brooklyn Technical High School,25%,92%,30%,73%,73%,81%,73%,74%,81%,85%,76%,73%
13K439,Brooklyn International High School,70%,100%,94%,97%,97%,95%,85%,90%,96%,94%,90%,96%
13K483,The Urban Assembly School For Law And Justice,68%,100%,88%,91%,94%,80%,85%,78%,91%,91%,78%,90%
13K492,Academy Of Arts And Letters,66%,100%,99%,89%,87%,90%,96%,83%,90%,95%,83%,89%
13K499,Acorn Community High School,14%,69%,71%,76%,84%,76%,80%,65%,85%,88%,68%,80%
13K527,Urban Assembly Institute Of Math And Science For Young Women,56%,97%,65%,76%,80%,77%,80%,68%,87%,89%,71%,78%
13K553,Brooklyn Academy High School,10%,92%,61%,91%,97%,83%,89%,68%,94%,97%,68%,92%
13K575,Bedford Stuyvesant Preparatory High School,23%,100%,77%,95%,96%,92%,82%,88%,98%,94%,89%,96%
13K595,Bedford Academy High School,65%,80%,92%,90%,96%,90%,94%,76%,90%,95%,74%,93%
13K596,Ms 596 Peace Academy,89%,100%,98%,87%,92%,88%,89%,79%,86%,93%,76%,89%
13K605,George Westinghouse Career And Technical Education High School,28%,95%,71%,73%,78%,73%,76%,61%,82%,86%,64%,75%
13K616,Brooklyn High School For Leadership And Community Service,20%,100%,49%,96%,94%,93%,83%,82%,93%,90%,82%,95%
13K657,Downtown Brooklyn Yabc,16%,81%,36%,93%,98%,86%,73%,73%,93%,87%,73%,95%
13K670,Benjamin Banneker Academy,9%,54%,54%,63%,61%,75%,74%,64%,73%,82%,65%,66%
13K674,"City Polytechnic High School Of Engineering, Architecture, And Technology",65%,85%,85%,76%,88%,84%,83%,71%,86%,93%,75%,81%
13K691,Fort Greene Preparatory Academy,49%,96%,91%,78%,82%,80%,85%,70%,84%,91%,71%,80%
14K016,P.S. 016 Leonard Dunkly,92%,100%,N/A,97%,95%,94%,93%,90%,96%,95%,N/A,94%
14K017,P.S. 017 Henry D. Woodworth,65%,86%,N/A,87%,95%,89%,94%,87%,96%,97%,N/A,90%
14K018,P.S. 018 Edward Bush,67%,100%,N/A,88%,96%,85%,92%,81%,93%,96%,N/A,88%
14K023,P.S. 023 Carter G. Woodson,93%,100%,N/A,96%,98%,97%,95%,94%,97%,96%,N/A,96%
14K031,P.S. 031 Samuel F. Dupont,69%,85%,N/A,87%,90%,91%,96%,85%,89%,97%,N/A,87%
14K034,P.S. 034 Oliver H. Perry,93%,100%,N/A,87%,77%,94%,97%,88%,86%,94%,N/A,84%
14K050,J.H.S. 050 John D. Wells,72%,95%,98%,88%,95%,88%,90%,77%,93%,95%,78%,89%
14K059,P.S. 059 William Floyd,59%,83%,N/A,93%,92%,95%,92%,89%,92%,93%,N/A,92%
14K071,Juan Morel Campos Secondary School,38%,86%,83%,82%,86%,82%,86%,69%,88%,90%,71%,85%
14K084,P.S. 084 Jose De Diego,56%,70%,91%,85%,84%,84%,95%,73%,87%,94%,75%,85%
14K110,P.S. 110 The Monitor,89%,100%,N/A,90%,93%,93%,95%,89%,97%,96%,N/A,92%
14K120,P.S. 120 Carlos Tapia,79%,100%,N/A,95%,94%,88%,91%,91%,95%,94%,N/A,93%
14K126,John Ericsson Middle School 126,88%,97%,98%,72%,81%,82%,85%,73%,81%,92%,75%,75%
14K132,P.S. 132 The Conselyea School,56%,89%,N/A,85%,87%,91%,94%,88%,89%,92%,N/A,88%
14K147,P.S. 147 Isaac Remsen,95%,92%,N/A,91%,97%,92%,96%,85%,96%,97%,N/A,92%
14K157,P.S. 157 Benjamin Franklin,79%,95%,97%,76%,81%,86%,91%,83%,86%,93%,85%,80%
14K196,P.S. 196 Ten Eyck,53%,93%,N/A,92%,97%,87%,94%,82%,98%,95%,N/A,91%
14K250,P.S. 250 George H. Lindsay,73%,76%,N/A,75%,71%,78%,93%,72%,83%,94%,N/A,73%
14K257,P.S. 257 John F. Hylan,74%,94%,N/A,100%,99%,100%,95%,100%,99%,96%,N/A,100%
14K297,P.S. 297 Abraham Stockton,57%,100%,N/A,88%,89%,86%,90%,71%,91%,90%,N/A,85%
14K318,I.S. 318 Eugenio Maria De Hostos,62%,81%,77%,88%,93%,89%,85%,82%,91%,90%,82%,91%
14K319,P.S. 319,100%,100%,N/A,98%,99%,92%,100%,91%,99%,99%,N/A,95%
14K322,Foundations Academy,37%,70%,67%,58%,64%,61%,80%,48%,70%,81%,49%,63%
14K330,The School For The Urban Environment,24%,67%,76%,92%,82%,87%,79%,83%,92%,86%,84%,N/A
14K380,P.S. 380 John Wayne Elementary,100%,100%,N/A,89%,89%,86%,91%,84%,91%,95%,N/A,87%
14K414,Brooklyn Arbor Elementary School,70%,100%,N/A,90%,91%,82%,97%,81%,97%,97%,N/A,87%
14K449,"Brooklyn Latin School, The",33%,88%,98%,90%,94%,93%,83%,81%,96%,92%,82%,92%
14K454,Green School: An Academy For Environmental Careers,29%,72%,62%,83%,91%,83%,87%,71%,93%,91%,74%,87%
14K474,Progress High School For Professional Careers,57%,66%,68%,88%,92%,83%,95%,72%,92%,97%,74%,89%
14K477,School For Legal Studies,10%,84%,52%,81%,86%,80%,79%,61%,88%,91%,64%,82%
14K478,"The High School For Enterprise, Business And Technology",34%,67%,80%,67%,73%,71%,81%,67%,81%,91%,70%,68%
14K488,Brooklyn Preparatory High School,28%,78%,84%,79%,84%,78%,82%,69%,88%,91%,70%,82%
14K558,Williamsburg High School For Architecture And Design,61%,100%,90%,91%,96%,94%,94%,98%,97%,97%,100%,92%
14K561,Williamsburg Preparatory School,37%,98%,89%,89%,92%,86%,86%,77%,94%,92%,79%,90%
14K577,Conselyea Preparatory School,99%,100%,99%,96%,98%,93%,88%,80%,92%,92%,78%,98%
14K582,M.S. 582,37%,100%,97%,91%,93%,95%,88%,89%,92%,93%,90%,92%
14K586,Lyons Community School,19%,96%,86%,87%,88%,76%,83%,70%,92%,91%,71%,87%
14K610,Automotive High School,8%,67%,56%,75%,79%,75%,88%,68%,81%,95%,70%,75%
14K614,Young Women'S Leadership School Of Brooklyn,70%,89%,90%,77%,75%,79%,90%,69%,84%,94%,71%,78%
14K632,Frances Perkins Academy,50%,83%,88%,76%,90%,87%,82%,74%,85%,87%,77%,83%
14K685,El Puente Academy For Peace And Justice,54%,94%,90%,91%,96%,93%,86%,81%,94%,92%,81%,95%
14K923,Automotive High School Yabc,0%,48%,29%,90%,94%,90%,93%,84%,98%,N/A,85%,93%
15K001,P.S. 001 The Bergen,42%,76%,N/A,74%,79%,78%,88%,77%,85%,93%,N/A,76%
15K010,"Magnet School Of Math, Science And Design Technology",34%,75%,N/A,89%,89%,88%,96%,89%,92%,94%,N/A,89%
15K015,P.S. 015 Patrick F. Daly,36%,78%,N/A,91%,94%,93%,91%,83%,96%,94%,N/A,90%
15K024,P.S. 024,60%,90%,N/A,73%,52%,68%,86%,78%,80%,92%,N/A,67%
15K029,P.S. 029 John M. Harrigan,65%,75%,N/A,92%,93%,92%,98%,90%,97%,98%,N/A,92%
15K032,P.S. 032 Samuel Mills Sprole,47%,84%,N/A,81%,85%,84%,95%,78%,89%,94%,N/A,82%
15K038,P.S. 038 The Pacific,67%,90%,N/A,90%,86%,88%,95%,90%,90%,93%,N/A,89%
15K039,P.S. 039 Henry Bristow,60%,96%,N/A,80%,80%,88%,98%,84%,87%,94%,N/A,82%
15K051,M.S. 51 William Alexander,45%,91%,97%,83%,90%,91%,80%,81%,87%,82%,80%,89%
15K058,P.S. 058 The Carroll,56%,89%,N/A,91%,94%,91%,97%,88%,93%,94%,N/A,92%
15K088,J.H.S. 088 Peter Rouget,28%,68%,91%,68%,70%,71%,82%,72%,80%,91%,75%,66%
15K094,P.S. 094 The Henry Longfellow,100%,95%,N/A,83%,86%,83%,85%,81%,88%,92%,N/A,83%
15K107,P.S. 107 John W. Kimball,78%,71%,N/A,89%,95%,97%,96%,94%,94%,94%,N/A,94%
15K118,The Maurice Sendak Community School,86%,100%,N/A,98%,97%,97%,98%,97%,97%,95%,N/A,98%
15K124,P.S. 124 Silas B. Dutcher,46%,100%,N/A,64%,57%,77%,90%,74%,78%,91%,N/A,67%
15K130,P.S. 130 The Parkside,73%,80%,N/A,85%,87%,87%,94%,85%,91%,94%,N/A,86%
15K131,P.S. 131 Brooklyn,45%,88%,N/A,94%,96%,96%,86%,93%,96%,92%,N/A,95%
15K136,I.S. 136 Charles O. Dewey,40%,96%,99%,90%,93%,89%,87%,81%,95%,94%,81%,92%
15K146,P.S. 146,49%,88%,N/A,98%,97%,97%,98%,93%,99%,97%,N/A,97%
15K154,The Windsor Terrace School,59%,89%,N/A,91%,93%,91%,96%,89%,93%,94%,N/A,90%
15K169,P.S. 169 Sunset Park,63%,65%,N/A,67%,68%,75%,83%,78%,75%,90%,N/A,69%
15K172,P.S. 172 Beacon School Of Excellence,100%,98%,N/A,96%,99%,97%,96%,93%,97%,97%,N/A,96%
15K230,P.S. 230 Doris L. Cohen,68%,92%,N/A,94%,96%,91%,94%,90%,97%,95%,N/A,93%
15K261,P.S. 261 Philip Livingston,69%,100%,N/A,87%,87%,87%,96%,82%,92%,95%,N/A,86%
15K295,P.S. 295,82%,98%,N/A,90%,95%,88%,93%,87%,98%,96%,N/A,91%
15K321,P.S. 321 William Penn,47%,68%,N/A,95%,99%,96%,97%,91%,98%,97%,N/A,95%
15K418,P.S. 372 -The Children'S School,45%,64%,N/A,80%,80%,80%,96%,78%,86%,94%,N/A,79%
15K423,Brooklyn Frontiers High School,15%,96%,57%,89%,89%,74%,81%,73%,91%,95%,71%,85%
15K429,Brooklyn School For Global Studies,35%,96%,93%,74%,81%,78%,80%,65%,82%,87%,68%,78%
15K442,M.S. 442 Carroll Gardens School For Innovation,37%,100%,82%,87%,91%,79%,90%,76%,94%,95%,76%,88%
15K443,New Voices School Of Academic & Creative Arts,40%,83%,99%,83%,92%,89%,90%,78%,88%,91%,77%,88%
15K447,The Math & Science Exploratory School,65%,100%,99%,85%,91%,88%,94%,79%,91%,96%,78%,89%
15K448,Brooklyn Secondary School For Collaborative Studies,24%,95%,79%,86%,90%,81%,89%,70%,92%,93%,72%,89%
15K462,Secondary School For Law,40%,74%,81%,89%,92%,85%,84%,65%,87%,89%,66%,91%
15K463,Secondary School For Journalism,21%,50%,81%,86%,93%,87%,76%,61%,86%,81%,62%,91%
15K464,Park Slope Collegiate,21%,76%,80%,82%,89%,74%,85%,69%,90%,92%,71%,83%
15K497,School For International Studies,15%,100%,49%,65%,72%,66%,82%,62%,78%,89%,65%,67%
15K516,Sunset Park Avenues Elementary School,94%,100%,N/A,99%,99%,90%,95%,93%,99%,96%,N/A,96%
15K519,Cobble Hill School Of American Studies,21%,100%,55%,64%,61%,69%,78%,63%,78%,89%,65%,64%
15K529,West Brooklyn Community High School,34%,100%,59%,88%,89%,85%,83%,83%,94%,95%,83%,87%
15K592,Khalil Gibran International Academy,51%,63%,80%,73%,84%,78%,85%,70%,92%,93%,74%,78%
15K656,Brooklyn High School Of The Arts,16%,95%,91%,70%,71%,76%,75%,60%,78%,81%,62%,73%
15K667,Sunset Park High School,38%,81%,77%,68%,71%,74%,79%,69%,81%,91%,72%,68%
15K676,Red Hook Neighborhood School,59%,69%,N/A,76%,87%,78%,91%,59%,88%,94%,N/A,76%
15K684,Millennium Brooklyn Hs,47%,94%,88%,92%,96%,91%,89%,83%,95%,94%,82%,94%
15K698,South Brooklyn Community High School,12%,92%,44%,91%,96%,89%,85%,78%,94%,90%,80%,94%
15K821,Sunset Park Prep,33%,100%,94%,81%,85%,78%,78%,71%,88%,90%,73%,81%
15K839,M.S. 839,53%,100%,98%,98%,100%,91%,91%,80%,97%,94%,78%,98%
15K863,Pre-K Center At Bishop Ford School Site,55%,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16K005,P.S. 005 Dr. Ronald Mcnair,54%,85%,N/A,73%,69%,83%,92%,69%,78%,93%,N/A,70%
16K021,P.S. 021 Crispus Attucks,41%,64%,N/A,90%,91%,92%,92%,80%,94%,92%,N/A,89%
16K025,P.S. 025 Eubie Blake School,86%,95%,N/A,90%,92%,94%,93%,88%,92%,96%,N/A,90%
16K026,P.S. 026 Jesse Owens,71%,81%,N/A,90%,88%,83%,94%,81%,94%,96%,N/A,87%
16K028,P.S. 028 The Warren Prep Academy,76%,86%,N/A,63%,71%,73%,92%,56%,79%,93%,N/A,65%
16K035,M.S. 035 Stephen Decatur,100%,100%,100%,96%,99%,92%,95%,91%,97%,96%,92%,96%
16K040,P.S. 040 George W. Carver,48%,96%,N/A,91%,98%,89%,82%,80%,97%,93%,N/A,90%
16K057,J.H.S. 057 Whitelaw Reid,83%,100%,99%,96%,97%,94%,91%,90%,96%,95%,89%,96%
16K081,P.S. 081 Thaddeus Stevens,50%,97%,N/A,91%,97%,94%,91%,87%,95%,93%,N/A,93%
16K243,P.S. 243K- The Weeksville School,52%,81%,N/A,75%,66%,73%,85%,71%,80%,85%,N/A,72%
16K262,P.S. 262 El Hajj Malik El Shabazz Elementary School,38%,90%,91%,79%,83%,94%,87%,80%,81%,90%,82%,82%
16K267,"M.S. 267 Math, Science & Technology",71%,100%,93%,99%,98%,97%,93%,86%,93%,94%,84%,99%
16K308,P.S. 308 Clara Cardwell,15%,78%,61%,71%,85%,71%,87%,56%,89%,94%,58%,80%
16K309,P.S. 309 The George E. Wibecan Preparatory Academy,41%,69%,N/A,54%,66%,72%,85%,64%,71%,85%,N/A,62%
16K335,P.S. 335 Granville T. Woods,50%,94%,N/A,92%,91%,92%,87%,81%,93%,90%,N/A,89%
16K385,"School Of Business, Finance And Entrepreneurship",91%,80%,97%,84%,90%,89%,97%,75%,90%,100%,77%,86%
16K393,Frederick Douglass Academy Iv Secondary School,25%,89%,88%,68%,81%,75%,86%,63%,83%,93%,66%,73%
16K455,Boys And Girls High School,12%,44%,59%,73%,79%,84%,80%,62%,81%,83%,64%,81%
16K498,Brooklyn High School For Law And Technology,14%,62%,61%,73%,79%,72%,78%,56%,86%,87%,60%,77%
16K534,Upper School @ P.S. 25,47%,100%,100%,93%,94%,95%,92%,87%,95%,98%,89%,92%
16K584,M.S. 584,47%,100%,94%,66%,65%,79%,86%,71%,77%,92%,74%,65%
16K594,Gotham Professional Arts Academy,12%,86%,68%,61%,72%,79%,93%,60%,82%,99%,66%,68%
16K627,Brighter Choice Community School,94%,90%,N/A,77%,85%,90%,96%,82%,90%,97%,N/A,82%
16K628,Brooklyn Brownstone School,100%,93%,N/A,98%,99%,93%,95%,93%,98%,95%,N/A,97%
16K636,Young Scholars' Academy For Discovery And Exploration,52%,92%,N/A,96%,99%,96%,95%,90%,97%,96%,N/A,96%
16K669,Research And Service High School,8%,54%,33%,79%,90%,85%,86%,79%,86%,87%,81%,85%
16K681,Madiba Prep Middle School,40%,95%,99%,82%,83%,79%,84%,81%,86%,87%,80%,82%
16K688,The Brooklyn Academy Of Global Finance,21%,100%,72%,89%,95%,92%,81%,68%,95%,89%,70%,95%
16K765,Nelson Mandela High School,18%,94%,72%,80%,94%,86%,91%,68%,93%,97%,68%,90%
16K959,Boys And Girls Yabc,34%,59%,52%,92%,99%,92%,88%,85%,99%,97%,85%,95%
17K002,Parkside Preparatory Academy,34%,76%,97%,82%,94%,82%,86%,75%,90%,91%,77%,86%
17K006,P.S. 006,14%,85%,N/A,92%,94%,92%,87%,82%,91%,87%,N/A,91%
17K012,Dr. Jacqueline Peek-Davis School,36%,48%,N/A,70%,66%,78%,84%,80%,77%,87%,N/A,72%
17K061,M.S. 061 Dr. Gladstone H. Atwell,8%,75%,77%,86%,85%,80%,90%,72%,88%,95%,72%,83%
17K091,P.S. 091 The Albany Avenue School,84%,84%,N/A,82%,80%,87%,85%,82%,80%,87%,N/A,81%
17K092,P.S. 092 Adrian Hegeman,37%,70%,N/A,79%,87%,80%,88%,73%,88%,91%,N/A,80%
17K122,Pathways In Technology Early College High School (P-Tech),52%,86%,56%,89%,92%,89%,86%,80%,93%,93%,81%,90%
17K138,P.S. 138 Brooklyn,53%,88%,74%,88%,92%,89%,92%,76%,93%,95%,77%,91%
17K161,P.S. 161 The Crown,25%,75%,N/A,88%,91%,86%,91%,81%,95%,94%,N/A,87%
17K167,P.S. 167 The Parkway,55%,100%,N/A,91%,95%,91%,90%,82%,94%,92%,N/A,91%
17K181,P.S. 181 Brooklyn,30%,43%,88%,68%,78%,73%,86%,63%,83%,91%,66%,74%
17K189,P.S. 189 The Bilingual Center,56%,70%,95%,90%,91%,92%,85%,78%,91%,90%,78%,93%
17K191,P.S. 191 Paul Robeson,72%,35%,N/A,89%,88%,84%,88%,84%,87%,91%,N/A,86%
17K221,P.S. 221 Toussaint L'Ouverture,60%,55%,N/A,98%,99%,96%,95%,94%,97%,97%,N/A,97%
17K241,P.S. 241 Emma L. Johnston,71%,74%,N/A,81%,88%,88%,91%,83%,91%,94%,N/A,85%
17K246,M.S. 246 Walt Whitman,46%,85%,89%,73%,76%,75%,84%,69%,84%,92%,71%,74%
17K249,P.S. 249 The Caton,89%,90%,N/A,96%,99%,96%,92%,92%,96%,95%,N/A,95%
17K289,P.S. 289 George V. Brower,48%,47%,N/A,79%,76%,75%,84%,76%,82%,90%,N/A,76%
17K316,P.S. 316 Elijah Stroud,49%,67%,N/A,84%,88%,88%,92%,89%,90%,95%,N/A,87%
17K334,Middle School For Academic And Social Excellence,65%,100%,86%,87%,91%,85%,88%,77%,89%,92%,78%,87%
17K340,I.S. 340,27%,100%,91%,85%,87%,77%,88%,61%,84%,90%,61%,85%
17K352,Ebbets Field Middle School,85%,100%,97%,81%,83%,87%,84%,77%,85%,90%,77%,83%
17K353,Elijah Stroud Middle School 353,88%,95%,100%,78%,86%,78%,86%,77%,90%,92%,77%,82%
17K354,The School Of Integrated Learning,95%,100%,98%,96%,100%,91%,94%,93%,96%,97%,94%,95%
17K375,P.S. 375 Jackie Robinson School,59%,90%,N/A,81%,88%,83%,89%,80%,87%,93%,N/A,82%
17K382,Academy For College Preparation And Career Exploration: A College Board School,15%,94%,79%,67%,78%,76%,76%,61%,84%,88%,67%,72%
17K394,M.S. K394,19%,90%,91%,76%,79%,76%,83%,66%,78%,87%,68%,75%
17K397,P.S. 397 Foster-Laurie,45%,68%,N/A,94%,97%,86%,90%,89%,95%,93%,N/A,93%
17K398,P.S. 398 Walter Weaver,89%,81%,N/A,81%,88%,85%,89%,70%,92%,92%,N/A,82%
17K399,P.S. 399 Stanley Eugene Clark,44%,36%,N/A,62%,60%,81%,87%,83%,76%,90%,N/A,70%
17K408,Academy Of Hospitality And Tourism,58%,95%,76%,85%,88%,75%,74%,65%,89%,85%,67%,85%
17K467,Erasmus Yabc,42%,100%,61%,93%,97%,86%,93%,68%,97%,98%,67%,95%
17K484,Ronald Edmonds Learning Center Ii,26%,82%,63%,98%,100%,100%,99%,98%,100%,98%,98%,98%
17K489,W.E.B. Dubois Academic High School,36%,100%,79%,92%,93%,80%,83%,71%,89%,93%,71%,88%
17K524,International High School At Prospect Heights,36%,83%,78%,91%,91%,87%,85%,80%,93%,95%,81%,89%
17K528,The High School For Global Citizenship,91%,100%,99%,81%,84%,85%,96%,70%,87%,97%,73%,82%
17K531,"School For Human Rights, The",66%,100%,97%,90%,93%,89%,82%,76%,92%,91%,78%,92%
17K532,New Bridges Elementary,33%,97%,N/A,90%,95%,79%,95%,76%,97%,95%,N/A,87%
17K533,School For Democracy And Leadership,42%,97%,64%,54%,65%,69%,80%,63%,74%,88%,68%,59%
17K537,High School For Youth And Community Development At Erasmus,30%,90%,68%,75%,79%,75%,80%,63%,85%,88%,67%,76%
17K539,High School For Service & Learning At Erasmus,20%,81%,56%,74%,84%,76%,90%,63%,85%,91%,67%,77%
17K543,"Science, Technology And Research Early College High School At Erasmus",99%,86%,91%,94%,97%,93%,99%,77%,94%,100%,77%,96%
17K546,High School For Public Service: Heroes Of Tomorrow,53%,75%,91%,88%,90%,82%,74%,70%,90%,84%,70%,90%
17K547,Brooklyn Academy Of Science And The Environment,23%,94%,82%,74%,74%,78%,82%,63%,86%,89%,68%,75%
17K548,Brooklyn School For Music & Theatre,45%,88%,59%,77%,79%,82%,85%,60%,82%,78%,64%,83%
17K568,Brownsville Academy High School,39%,86%,62%,72%,87%,85%,92%,75%,91%,96%,80%,81%
17K590,Medgar Evers College Preparatory School,37%,50%,57%,78%,87%,85%,94%,64%,86%,94%,65%,84%
17K600,Clara Barton High School,10%,72%,72%,68%,76%,68%,79%,56%,79%,89%,60%,69%
17K705,Brooklyn Arts And Science Elementary School,73%,90%,N/A,85%,91%,80%,96%,78%,96%,97%,N/A,85%
17K722,New Heights Middle School,31%,82%,87%,73%,87%,79%,91%,72%,90%,95%,75%,80%
17K745,Brooklyn Institute For Liberal Arts,66%,96%,91%,75%,75%,74%,82%,74%,83%,91%,76%,73%
17K751,Academy For Health Careers,12%,84%,86%,81%,91%,76%,83%,62%,84%,87%,62%,86%
17K770,P.S. 770 New American Academy,67%,81%,N/A,85%,91%,81%,95%,72%,90%,96%,N/A,83%
18K066,P.S. 66,63%,84%,98%,75%,78%,74%,88%,65%,82%,92%,67%,76%
18K068,I.S. 068 Isaac Bildersee,32%,63%,91%,86%,89%,80%,85%,70%,89%,91%,68%,88%
18K114,P.S. 114 Ryder Elementary,73%,57%,N/A,77%,85%,80%,87%,72%,84%,91%,N/A,77%
18K115,P.S. 115 Daniel Mucatel School,40%,96%,N/A,83%,88%,84%,92%,75%,89%,92%,N/A,83%
18K135,P.S. 135 Sheldon A. Brookner,70%,77%,N/A,74%,83%,76%,90%,69%,88%,93%,N/A,76%
18K208,P.S. 208 Elsa Ebeling,44%,84%,N/A,82%,82%,88%,89%,73%,89%,92%,N/A,81%
18K211,I.S. 211 John Wilson,25%,84%,88%,84%,90%,90%,84%,71%,87%,88%,71%,88%
18K219,P.S. 219 Kennedy-King,47%,38%,N/A,75%,76%,88%,86%,74%,86%,90%,N/A,78%
18K233,P.S. 233 Langston Hughes,28%,100%,N/A,93%,95%,89%,91%,84%,96%,92%,N/A,91%
18K235,P.S. 235 Lenox School,42%,51%,100%,89%,92%,93%,89%,78%,91%,92%,78%,92%
18K244,P.S. 244 Richard R. Green,35%,72%,N/A,73%,63%,78%,88%,76%,77%,89%,N/A,71%
18K268,P.S. 268 Emma Lazarus,40%,48%,N/A,81%,88%,91%,91%,65%,97%,94%,N/A,82%
18K272,P.S. 272 Curtis Estabrook,58%,74%,N/A,82%,84%,79%,86%,73%,87%,91%,N/A,79%
18K276,P.S. 276 Louis Marshall,57%,83%,N/A,87%,86%,87%,88%,86%,90%,92%,N/A,86%
18K279,P.S. 279 Herman Schreiber,46%,61%,N/A,74%,79%,79%,93%,73%,83%,92%,N/A,75%
18K285,I.S. 285 Meyer Levin,37%,89%,91%,92%,93%,90%,87%,83%,92%,93%,83%,92%
18K366,The Science And Medicine Middle School,58%,96%,100%,74%,82%,78%,85%,64%,81%,89%,64%,78%
18K563,It Takes A Village Academy,75%,95%,90%,88%,95%,83%,95%,64%,89%,97%,63%,91%
18K566,Brooklyn Generation School,29%,92%,70%,87%,90%,89%,86%,73%,89%,92%,74%,89%
18K567,Brooklyn Theatre Arts High School,21%,95%,74%,69%,71%,77%,76%,59%,79%,84%,61%,72%
18K569,Kurt Hahn Expeditionary Learning School,20%,64%,82%,80%,88%,77%,86%,68%,88%,92%,69%,83%
18K576,Victory Collegiate High School,19%,72%,59%,77%,85%,73%,85%,73%,90%,92%,75%,82%
18K578,Brooklyn Bridge Academy,77%,94%,95%,80%,86%,94%,92%,89%,87%,97%,90%,82%
18K581,East Flatbush Community Research School,89%,94%,98%,85%,90%,88%,90%,72%,87%,95%,73%,85%
18K588,Middle School For Art And Philosophy,60%,100%,97%,80%,88%,75%,83%,68%,83%,90%,69%,81%
18K589,Arts & Media Preparatory Academy,25%,79%,80%,83%,90%,81%,76%,64%,88%,88%,65%,87%
18K598,Middle School Of Marketing And Legal Studies,61%,53%,88%,68%,85%,87%,86%,73%,79%,92%,73%,78%
18K617,High School For Innovation In Advertising And Media,11%,67%,71%,71%,72%,79%,78%,68%,85%,87%,72%,74%
18K629,Cultural Academy For The Arts And Sciences,13%,96%,53%,65%,79%,72%,77%,60%,82%,83%,64%,73%
18K633,High School For Medical Professions,9%,93%,86%,85%,93%,83%,83%,65%,89%,88%,66%,89%
18K635,Olympus Academy,9%,100%,75%,89%,90%,72%,82%,75%,94%,90%,75%,87%
18K637,Academy For Conservation And The Environment,65%,92%,85%,75%,85%,73%,91%,69%,86%,97%,71%,77%
18K642,Urban Action Academy,21%,100%,76%,68%,80%,79%,81%,61%,81%,88%,64%,75%
18K673,East Brooklyn Community High School,21%,94%,76%,96%,98%,90%,83%,86%,97%,94%,86%,95%
18K763,Brooklyn Science And Engineering Academy,77%,100%,89%,96%,98%,95%,95%,91%,98%,97%,90%,98%
18K922,South Shore Educational Complex Yabc,82%,64%,72%,98%,97%,94%,97%,93%,99%,98%,93%,98%
19K007,P.S. 007 Abraham Lincoln,79%,91%,N/A,76%,71%,77%,91%,70%,86%,95%,N/A,74%
19K013,P.S. 013 Roberto Clemente,65%,83%,N/A,72%,74%,74%,88%,60%,77%,90%,N/A,69%
19K065,P.S. 065,92%,98%,N/A,97%,96%,94%,92%,95%,98%,95%,N/A,96%
19K089,P.S. 089 Cypress Hills,62%,100%,99%,70%,76%,72%,93%,76%,84%,97%,78%,71%
19K108,P.S. 108 Sal Abbracciamento,88%,97%,N/A,85%,90%,90%,92%,87%,90%,95%,N/A,87%
19K149,P.S. 149 Danny Kaye,49%,82%,N/A,75%,79%,77%,84%,66%,85%,89%,N/A,74%
19K158,P.S. 158 Warwick,42%,70%,N/A,96%,96%,89%,90%,86%,94%,90%,N/A,93%
19K159,P.S. 159 Isaac Pitkin,64%,100%,N/A,96%,94%,94%,86%,94%,94%,90%,N/A,95%
19K171,I.S. 171 Abraham Lincoln,62%,98%,98%,91%,91%,88%,84%,80%,93%,90%,80%,93%
19K174,P.S. 174 Dumont,100%,83%,N/A,83%,93%,91%,89%,54%,90%,91%,N/A,80%
19K190,P.S. 190 Sheffield,54%,88%,N/A,84%,87%,89%,92%,84%,91%,95%,N/A,85%
19K202,P.S. 202 Ernest S. Jenkyns,63%,82%,N/A,73%,77%,81%,87%,72%,83%,92%,N/A,76%
19K213,P.S. 213 New Lots,26%,92%,N/A,82%,80%,83%,83%,83%,81%,86%,N/A,81%
19K214,P.S. 214 Michael Friedsam,61%,93%,N/A,76%,71%,75%,90%,79%,85%,94%,N/A,74%
19K218,J.H.S. 218 James P. Sinnott,43%,100%,96%,74%,73%,73%,83%,67%,83%,91%,69%,73%
19K224,P.S. 224 Hale A. Woodruff,70%,61%,N/A,83%,87%,81%,87%,69%,88%,90%,N/A,80%
19K273,P.S. 273 Wortman,39%,97%,N/A,90%,93%,91%,93%,78%,96%,96%,N/A,88%
19K290,P.S. 290 Juan Morel Campos,34%,77%,N/A,75%,85%,82%,88%,77%,82%,92%,N/A,79%
