DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Supportive Environment Score,Strong Family-Community Ties Score,Trust Score
05M125,P.S. 125 RALPH BUNCHE,49%,77%,N/A,N/A,N/A,N/A,N/A,N/A,3.81
05M129,P.S. 129 JOHN H. FINLEY,50%,33%,98%,2.53,2.37,2.32,N/A,3.36,3.27
05M133,P.S. 133 FRED R MOORE,80%,94%,N/A,3.29,3.30,2.81,N/A,2.74,3.15
05M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,5%,75%,16%,3.29,3.48,3.39,N/A,3.09,3.09
05M154,P.S. 154 HARRIET TUBMAN,50%,86%,N/A,3.11,3.53,3.51,N/A,3.42,3.32
05M157,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,41%,100%,71%,2.62,3.28,2.40,N/A,3.97,3.04
05M161,P.S. 161 PEDRO ALBIZU CAMPOS,31%,81%,91%,3.39,3.43,2.72,N/A,3.47,3.30
05M175,P.S. 175 HENRY H GARNET,65%,100%,N/A,3.18,3.06,3.19,N/A,3.93,3.23
05M194,P.S. 194 COUNTEE CULLEN,98%,100%,N/A,3.08,3.06,3.22,N/A,3.59,2.18
05M197,P.S. 197 JOHN B. RUSSWURM,100%,81%,N/A,3.74,3.90,3.30,N/A,4.74,4.85
05M200,P.S. 200- THE JAMES MCCUNE SMITH SCHOOL,36%,80%,N/A,3.26,3.11,2.90,N/A,3.25,3.44
05M285,HARLEM RENAISSANCE HIGH SCHOOL,19%,72%,50%,2.43,2.82,2.73,N/A,2.46,3.44
05M286,URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS,50%,79%,86%,3.03,3.36,2.73,N/A,3.74,3.17
05M304,MOTT HALL HIGH SCHOOL,95%,89%,100%,2.86,3.04,2.33,N/A,4.25,3.38
05M318,THURGOOD MARSHALL ACADEMY LOWER SCHOOL,72%,100%,N/A,4.36,3.77,3.79,N/A,4.49,4.14
05M362,COLUMBIA SECONDARY SCHOOL,26%,54%,59%,4.22,4.48,4.79,N/A,3.72,3.87
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,32%,96%,58%,3.39,3.60,3.23,N/A,2.94,3.70
05M499,FREDERICK DOUGLASS ACADEMY,10%,58%,64%,2.06,1.98,1.94,N/A,1.66,2.51
05M514,NEW DESIGN MIDDLE SCHOOL,19%,82%,82%,2.49,2.03,2.53,N/A,4.30,2.87
05M517,TEACHERS COLLEGE COMMUNITY SCHOOL,70%,100%,99%,N/A,N/A,N/A,N/A,N/A,3.64
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,22%,76%,71%,3.97,3.59,2.95,N/A,3.30,3.58
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",31%,100%,85%,4.15,3.45,4.82,N/A,3.87,3.55
06M004,P.S. 004 DUKE ELLINGTON,95%,98%,N/A,3.25,3.38,3.02,N/A,4.01,3.62
06M005,P.S. 005 ELLEN LURIE,79%,92%,N/A,3.64,4.21,3.30,N/A,4.01,4.09
06M008,P.S. 008 LUIS BELLIARD,100%,75%,N/A,3.58,3.49,3.83,N/A,4.27,3.80
06M018,P.S. 018 PARK TERRACE,89%,100%,98%,4.31,4.15,3.65,N/A,4.15,4.66
06M028,P.S. 028 WRIGHT BROTHERS,92%,100%,N/A,4.23,4.10,4.71,N/A,3.98,4.16
06M048,P.S. 048 P.O. MICHAEL J. BUCZEK,82%,35%,N/A,3.83,3.08,3.08,N/A,3.25,3.37
06M052,HAROLD O. LEVY SCHOOL,81%,100%,97%,3.57,2.96,3.57,N/A,4.00,3.88
06M098,P.S. 098 SHORAC KAPPOCK,84%,84%,N/A,2.80,2.79,3.03,N/A,3.33,2.88
06M103,DOS PUENTES ELEMENTARY SCHOOL,85%,91%,N/A,N/A,N/A,N/A,N/A,N/A,4.48
06M115,P.S. 115 ALEXANDER HUMBOLDT,79%,100%,N/A,3.88,3.62,3.57,N/A,3.93,4.17
06M128,P.S. 128 AUDUBON,66%,96%,N/A,N/A,N/A,N/A,N/A,N/A,3.99
06M132,P.S. 132 JUAN PABLO DUARTE,77%,96%,N/A,3.01,3.58,3.16,N/A,3.25,3.03
06M143,J.H.S. 143 ELEANOR ROOSEVELT,73%,100%,98%,3.78,3.27,2.89,N/A,2.71,4.19
06M152,P.S. 152 DYCKMAN VALLEY,100%,93%,N/A,3.49,4.50,3.63,N/A,4.23,4.14
06M153,P.S. 153 ADAM CLAYTON POWELL,94%,73%,N/A,4.16,3.43,4.28,N/A,4.40,3.71
06M173,P.S. 173,81%,92%,N/A,3.66,3.60,2.32,N/A,4.32,4.13
06M178,PROFESSOR JUAN BOSCH PUBLIC SCHOOL,100%,100%,N/A,4.70,3.96,4.11,N/A,4.57,4.58
06M187,P.S./I.S. 187 HUDSON CLIFFS,89%,100%,96%,N/A,N/A,N/A,N/A,N/A,3.63
06M189,P.S. 189,93%,98%,N/A,3.49,3.49,3.21,N/A,4.10,3.93
06M192,P.S. 192 JACOB H. SCHIFF,100%,88%,N/A,3.11,2.67,3.05,N/A,3.70,3.96
06M209,HAMILTON GRANGE MIDDLE SCHOOL,76%,77%,95%,3.15,3.85,3.66,N/A,3.74,3.31
06M210,P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,100%,92%,99%,3.74,4.18,3.92,N/A,4.06,4.05
06M211,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES,54%,97%,86%,2.38,3.24,2.36,N/A,3.84,3.84
06M223,THE MOTT HALL SCHOOL,77%,100%,100%,3.76,3.74,2.84,N/A,3.89,4.18
06M278,PAULA HEDBAVNY SCHOOL,80%,97%,99%,N/A,N/A,N/A,N/A,N/A,4.13
06M293,CITY COLLEGE ACADEMY OF THE ARTS,77%,46%,86%,3.30,3.33,3.17,N/A,3.57,3.89
06M311,AMISTAD DUAL LANGUAGE SCHOOL,89%,100%,99%,3.93,4.18,3.93,N/A,4.15,4.24
06M314,MUSCOTA,79%,100%,N/A,4.54,4.59,3.87,N/A,4.57,4.62
06M319,M.S. 319 - MARIA TERESA,88%,94%,97%,4.30,3.79,4.77,N/A,4.40,4.19
06M322,MIDDLE SCHOOL 322,99%,80%,99%,4.28,4.35,4.67,N/A,4.59,4.06
06M324,M.S. 324 - PATRIA MIRABAL,86%,74%,99%,4.50,3.66,4.75,N/A,2.87,3.60
06M328,COMMUNITY MATH & SCIENCE PREP,93%,84%,92%,3.31,3.64,2.45,N/A,4.15,3.74
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,53%,100%,80%,4.71,4.50,3.77,N/A,4.15,4.39
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,37%,71%,77%,4.05,4.14,4.70,N/A,3.13,4.17
06M349,HARBOR HEIGHTS,100%,100%,100%,3.52,3.73,3.57,N/A,4.23,4.10
06M366,WASHINGTON HEIGHTS ACADEMY,85%,94%,100%,4.03,3.68,4.14,N/A,4.32,3.74
06M368,HAMILTON HEIGHTS SCHOOL,100%,100%,N/A,3.53,3.28,2.54,N/A,4.35,4.65
06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,69%,95%,72%,3.61,3.62,3.40,N/A,4.28,3.70
06M457,GEORGE WASHINGTON YABC,24%,68%,45%,4.22,4.90,3.98,N/A,4.42,4.52
06M462,THE COLLEGE ACADEMY,59%,94%,85%,3.44,3.52,3.56,N/A,3.56,3.23
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,73%,100%,89%,2.66,3.28,2.24,N/A,3.81,3.65
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,67%,91%,76%,3.50,3.67,2.90,N/A,4.28,4.49
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,83%,100%,92%,3.41,3.93,3.49,N/A,4.77,4.01
06M513,CASTLE BRIDGE SCHOOL,52%,75%,N/A,4.04,3.50,3.67,N/A,4.57,3.85
06M528,I.S. 528 BEA FULLER RODGERS SCHOOL,100%,100%,100%,3.87,3.99,3.95,N/A,4.40,4.11
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,20%,75%,45%,3.40,3.46,2.76,N/A,2.94,3.48
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,54%,97%,76%,3.92,4.20,3.69,N/A,4.38,4.41
07X001,P.S. 001 COURTLANDT SCHOOL,98%,41%,N/A,2.75,2.78,2.34,N/A,3.16,3.00
07X005,P.S. 5 PORT MORRIS,44%,70%,88%,N/A,N/A,N/A,N/A,N/A,2.47
07X018,P.S. 018 JOHN PETER ZENGER,100%,100%,N/A,3.35,3.59,3.01,N/A,4.01,4.04
07X025,P.S. 025 BILINGUAL SCHOOL,40%,73%,N/A,3.55,4.16,3.48,N/A,4.15,3.73
07X029,P.S./M.S. 029 MELROSE SCHOOL,48%,89%,88%,3.14,1.88,3.85,N/A,3.21,2.50
07X030,P.S. 030 WILTON,67%,58%,N/A,3.35,3.51,3.37,N/A,4.10,3.71
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,64%,97%,96%,3.04,3.05,2.12,N/A,2.99,3.43
07X043,P.S. 043 JONAS BRONCK,52%,96%,N/A,3.91,3.97,3.60,N/A,3.59,3.93
07X049,P.S. 049 WILLIS AVENUE,69%,100%,N/A,4.30,3.90,4.28,N/A,4.06,3.64
07X065,P.S. 065 MOTHER HALE ACADEMY,74%,92%,N/A,3.28,3.61,3.33,N/A,3.50,3.54
07X151,J.H.S. 151 LOU GEHRIG,65%,96%,94%,3.60,3.64,3.44,N/A,4.31,3.97
07X154,P.S. 154 JONATHAN D. HYATT,77%,94%,N/A,4.19,4.08,4.28,N/A,4.06,3.92
07X157,P.S. 157 GROVE HILL,40%,69%,N/A,3.52,3.53,3.51,N/A,3.42,3.59
07X161,P.S. 161 JUAN PONCE DE LEON SCHOOL,65%,87%,N/A,2.89,2.93,3.03,N/A,3.42,3.42
07X179,P.S. 179,56%,100%,N/A,3.83,3.74,2.50,N/A,3.67,4.08
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,77%,100%,99%,4.74,4.15,4.53,N/A,3.30,4.15
07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X223,69%,87%,93%,4.10,3.21,4.59,N/A,3.15,3.52
07X224,P.S./I.S. 224,71%,64%,89%,1.96,2.88,2.57,N/A,3.71,2.72
07X259,"H.E.R.O. HIGH (HEALTH, EDUCATION, AND RESEARCH OCCUPATIONS HIGH SCHOOL)",15%,82%,58%,4.23,4.39,3.95,N/A,3.69,4.16
07X277,P.S. 277,34%,100%,N/A,2.98,3.06,3.11,N/A,3.67,2.43
07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,66%,100%,94%,3.63,3.77,3.09,N/A,3.22,3.73
07X298,ACADEMY OF PUBLIC RELATIONS,91%,96%,96%,2.80,3.69,3.21,N/A,3.80,3.48
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,35%,100%,91%,4.25,4.19,4.04,N/A,3.89,3.90
07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,45%,100%,92%,4.52,3.96,4.01,N/A,3.52,3.79
07X359,CONCOURSE VILLAGE ELEMENTARY SCHOOL,75%,100%,N/A,4.81,4.84,4.62,N/A,4.40,4.75
07X369,YOUNG LEADERS ELEMENTARY SCHOOL,87%,97%,N/A,3.93,3.86,3.82,N/A,4.27,4.67
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,7%,81%,34%,3.72,3.85,3.51,N/A,3.56,3.97
07X381,BRONX HAVEN HIGH SCHOOL,55%,100%,84%,2.88,3.16,3.05,N/A,1.55,2.97
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,58%,96%,90%,4.93,4.87,4.53,N/A,4.87,4.83
07X456,ALFRED E. SMITH CAMPUS YABC,29%,100%,65%,3.89,4.31,3.62,N/A,3.82,4.48
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,54%,97%,84%,2.81,3.05,2.65,N/A,3.36,3.30
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,83%,92%,97%,3.94,4.75,3.76,N/A,4.94,4.35
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,30%,70%,83%,3.70,3.59,3.23,N/A,3.58,3.89
07X522,BRONX DESIGN AND CONSTRUCTION ACADEMY,21%,77%,71%,2.31,1.72,2.70,N/A,3.47,2.37
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,29%,84%,78%,3.90,3.32,3.11,N/A,3.87,3.70
07X548,CAREERS IN SPORTS HIGH SCHOOL,18%,87%,62%,3.98,3.91,3.39,N/A,2.65,3.64
07X551,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,11%,89%,43%,3.68,3.91,4.42,N/A,3.30,3.88
07X557,MOTT HAVEN COMMUNITY HIGH SCHOOL,78%,91%,81%,3.92,4.06,2.93,N/A,4.62,4.66
07X584,I.S. 584,39%,93%,100%,N/A,N/A,N/A,N/A,N/A,3.46
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,31%,40%,86%,2.89,3.12,2.26,N/A,3.64,3.11
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,75%,100%,79%,2.50,2.26,2.14,N/A,1.63,1.99
08X014,P.S. X014 SENATOR JOHN CALANDRA,45%,74%,N/A,N/A,N/A,N/A,N/A,N/A,4.42
08X036,P.S. 036 UNIONPORT,65%,84%,N/A,N/A,N/A,N/A,N/A,N/A,4.45
08X048,P.S. 048 JOSEPH R. DRAKE,38%,71%,N/A,2.33,2.78,2.88,N/A,2.74,2.18
08X062,P.S. 062 INOCENSIO CASANOVA,50%,87%,N/A,4.32,3.96,3.25,N/A,4.15,3.91
08X069,P.S. 069 JOURNEY PREP SCHOOL,53%,87%,N/A,4.46,3.97,4.54,N/A,3.89,3.97
08X071,P.S. 071 ROSE E. SCALA,42%,72%,99%,4.18,3.31,3.86,N/A,3.55,3.56
08X072,P.S. 072 DR. WILLIAM DORNEY,55%,100%,N/A,N/A,N/A,N/A,N/A,N/A,3.64
08X075,P.S. 75 SCHOOL OF RESEARCH AND DISCOVERY,61%,88%,N/A,3.89,3.94,4.31,N/A,3.81,3.86
08X093,P.S. 093 ALBERT G. OLIVER,43%,61%,N/A,N/A,N/A,N/A,N/A,N/A,2.57
08X100,P.S. 100 ISAAC CLASON,50%,100%,N/A,4.00,3.37,3.93,N/A,3.42,3.34
08X101,M.S. X101 EDWARD R. BYRNE,73%,67%,93%,3.76,3.33,3.69,N/A,3.61,3.52
08X107,P.S. 107,86%,100%,N/A,3.65,3.64,3.29,N/A,3.59,3.77
08X119,THE DR. EMMETT W. BASSETT SCHOOL,56%,59%,N/A,2.13,2.78,2.98,N/A,3.16,2.91
08X123,J.H.S. 123 JAMES M. KIERAN,47%,88%,93%,3.82,3.86,3.26,N/A,3.55,4.06
08X130,P.S. 130 ABRAM STEVENS HEWITT,90%,100%,N/A,3.49,3.12,2.37,N/A,4.15,3.45
08X131,J.H.S. 131 ALBERT EINSTEIN,39%,98%,98%,3.20,3.50,3.01,N/A,3.39,3.17
08X138,P.S. 138 SAMUEL RANDALL,55%,73%,N/A,3.15,2.62,2.98,N/A,3.59,3.33
08X140,P.S. X140 THE EAGLE SCHOOL,52%,76%,N/A,2.79,2.88,2.33,N/A,3.42,3.03
08X146,P.S. 146 EDWARD COLLINS,58%,85%,N/A,3.01,3.12,3.12,N/A,2.74,2.42
08X152,P.S. 152 EVERGREEN,34%,39%,N/A,2.35,3.02,3.77,N/A,2.82,2.30
08X182,P.S. 182,41%,73%,N/A,3.36,3.04,3.71,N/A,3.89,3.22
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,59%,84%,80%,2.37,2.74,2.60,N/A,2.52,2.91
08X282,WOMEN'S ACADEMY OF EXCELLENCE,70%,95%,87%,3.51,3.31,3.31,N/A,2.14,2.39
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER AND THE ARTS,50%,100%,92%,N/A,N/A,N/A,N/A,N/A,4.27
08X301,M.S. 301 PAUL L. DUNBAR,51%,91%,76%,3.81,3.81,3.37,N/A,2.57,3.52
08X302,M.S. 302 LUISA DESSUS CRUZ,82%,100%,79%,3.17,3.87,3.82,N/A,4.01,3.73
08X304,P.S. 304 EARLY CHILDHOOD SCHOOL,70%,86%,N/A,3.66,3.85,3.54,N/A,4.32,3.75
08X312,MILLENNIUM ART ACADEMY,35%,94%,79%,3.12,2.92,2.13,N/A,3.13,3.51
08X320,PELHAM LAB HIGH SCHOOL,30%,93%,55%,3.35,3.52,3.01,N/A,3.95,3.52
08X333,THE LONGWOOD ACADEMY OF DISCOVERY,69%,56%,N/A,2.69,2.65,2.54,N/A,3.67,3.24
08X337,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,44%,98%,95%,4.34,3.34,4.76,N/A,3.22,3.39
08X348,SCHUYLERVILLE PREPARATORY HIGH SCHOOL,19%,100%,83%,3.37,3.50,2.41,N/A,3.79,3.64
08X349,BRONX RIVER HIGH SCHOOL,52%,100%,84%,3.85,3.85,3.43,N/A,3.15,2.98
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",24%,92%,80%,2.57,3.06,3.23,N/A,2.23,2.61
08X371,URBAN INSTITUTE OF MATHEMATICS,85%,83%,95%,N/A,N/A,N/A,N/A,N/A,3.44
08X375,THE BRONX MATHEMATICS PREPARATORY SCHOOL,92%,100%,86%,3.33,3.34,3.53,N/A,3.08,3.24
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,31%,81%,86%,2.45,2.95,2.15,N/A,2.79,3.14
08X377,BRONX COMMUNITY HIGH SCHOOL,6%,94%,64%,3.49,3.48,2.58,N/A,4.03,4.64
08X392,BRONX DELTA SCHOOL,82%,85%,N/A,4.13,3.64,3.60,N/A,4.15,3.67
08X405,HERBERT H. LEHMAN HIGH SCHOOL,30%,79%,66%,3.23,3.14,3.10,N/A,2.73,3.22
08X408,HERBERT H. LEHMAN YABC,14%,96%,64%,4.41,4.80,4.15,N/A,2.82,4.12
08X424,THE HUNTS POINT SCHOOL,63%,64%,87%,1.95,2.78,1.87,N/A,3.71,2.24
08X432,BRONX BRIDGES HIGH SCHOOL,69%,97%,92%,3.62,3.92,2.69,N/A,4.03,3.94
08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,60%,97%,96%,3.64,2.46,4.11,N/A,3.94,3.13
08X452,GOTHAM COLLABORATIVE HIGH SCHOOL,13%,96%,62%,3.62,3.99,3.36,N/A,3.78,4.20
08X467,MOTT HALL COMMUNITY SCHOOL,34%,75%,96%,2.39,2.72,2.20,N/A,3.28,3.44
08X507,STEVENSON YABC,3%,74%,36%,4.11,4.36,3.78,N/A,N/A,N/A
08X530,LONGWOOD PREPARATORY ACADEMY,26%,94%,62%,4.50,3.78,3.58,N/A,4.44,4.29
08X537,BRONX ARENA HIGH SCHOOL,1%,93%,60%,4.88,4.99,4.82,N/A,N/A,N/A
08X558,WESTCHESTER SQUARE ACADEMY,23%,83%,74%,N/A,N/A,N/A,N/A,N/A,2.94
08X559,SCHOOL FOR TOURISM AND HOSPITALITY,18%,69%,72%,2.04,2.50,2.25,N/A,1.38,1.71
08X561,BRONX COMPASS HIGH SCHOOL,18%,68%,86%,1.96,2.56,1.99,N/A,2.41,3.40
08X562,BLUEPRINT MIDDLE SCHOOL,34%,78%,83%,2.29,2.58,3.01,N/A,2.11,1.85
08X583,P.S. 583,70%,100%,N/A,N/A,N/A,N/A,N/A,N/A,4.39
09X004,P.S./M.S. 004 CROTONA PARK WEST,57%,86%,96%,3.62,3.09,3.34,N/A,2.91,2.99
09X011,P.S. 011 HIGHBRIDGE,32%,30%,N/A,4.02,3.52,3.93,N/A,4.49,3.66
09X022,J.H.S. 022 JORDAN L. MOTT,56%,90%,71%,3.46,3.74,3.39,N/A,3.60,3.86
09X028,P.S. 028 MOUNT HOPE,20%,65%,N/A,3.18,3.12,3.52,N/A,3.50,2.65
09X035,P.S. 035 FRANZ SIEGEL,58%,80%,N/A,3.59,3.40,3.53,N/A,4.01,4.02
09X042,P.S. 042 CLAREMONT,69%,95%,N/A,3.64,3.81,3.37,N/A,4.15,3.40
09X053,P.S. 053 BASHEER QUISIM,66%,91%,N/A,3.56,3.52,3.42,N/A,3.08,2.63
09X055,P.S. 055 BENJAMIN FRANKLIN,65%,88%,N/A,2.96,3.32,3.15,N/A,3.50,3.38
09X058,P.S. 058,54%,68%,N/A,3.87,3.50,3.41,N/A,3.93,3.92
09X063,P.S. 063 AUTHOR'S ACADEMY,46%,100%,N/A,3.36,3.56,3.08,N/A,3.84,3.82
09X070,P.S. 070 MAX SCHOENFELD,41%,79%,N/A,3.68,3.54,3.51,N/A,3.76,3.48
09X073,P.S. 073 BRONX,39%,77%,N/A,2.61,2.62,2.31,N/A,2.74,2.53
09X088,P.S. X088 - S. SILVERSTEIN LITTLE SPARROW SCHOOL,47%,100%,N/A,2.19,2.18,1.86,N/A,3.08,2.39
09X109,P.S. 109 SEDGWICK,63%,100%,N/A,2.66,2.98,2.84,N/A,3.89,2.78
09X110,P.S. 110 THEODORE SCHOENFELD,26%,32%,N/A,2.62,3.54,3.83,N/A,N/A,N/A
09X114,P.S. X114 - LUIS LLORENS TORRES SCHOOLS,52%,68%,N/A,3.41,3.40,3.51,N/A,2.91,3.47
09X117,I.S. 117 JOSEPH H. WADE,92%,84%,90%,3.35,3.57,2.99,N/A,4.52,3.80
09X126,P.S. 126 DR MARJORIE H DUNBAR,79%,65%,N/A,2.29,2.75,2.62,N/A,2.65,2.35
09X128,MOTT HALL III,56%,52%,96%,4.43,4.23,4.06,N/A,3.35,3.86
09X132,P.S. 132 GARRET A. MORGAN,47%,42%,N/A,3.17,2.89,2.98,N/A,2.31,2.40
09X163,P.S. 163 ARTHUR A. SCHOMBURG,49%,62%,N/A,2.50,3.00,2.93,N/A,3.33,3.03
09X170,P.S. 170,90%,100%,N/A,3.78,4.44,3.94,N/A,4.66,4.45
09X199,P.S. 199X - THE SHAKESPEARE SCHOOL,60%,87%,N/A,4.18,4.37,3.63,N/A,3.89,4.00
09X204,P.S. 204 MORRIS HEIGHTS,100%,100%,N/A,4.73,4.29,4.49,N/A,4.27,4.42
09X215,KAPPA,71%,59%,98%,3.31,3.10,3.63,N/A,3.02,3.52
09X218,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,75%,100%,100%,3.97,3.85,3.75,N/A,3.64,3.07
09X219,I.S. 219 NEW VENTURE SCHOOL,38%,68%,79%,3.45,3.74,3.57,N/A,3.66,4.30
09X227,BRONX COLLEGIATE ACADEMY,17%,100%,74%,4.74,4.23,3.69,N/A,4.23,4.49
09X229,I.S. 229 ROLAND PATTERSON,71%,80%,99%,1.93,2.35,2.06,N/A,3.63,3.26
09X231,EAGLE ACADEMY FOR YOUNG MEN,23%,87%,66%,2.42,2.50,2.54,N/A,3.64,2.72
09X232,I.S. 232,74%,92%,91%,2.76,2.23,2.28,N/A,2.96,3.58
09X236,P.S. 236 LANGSTON HUGHES,100%,97%,N/A,3.11,3.06,2.78,N/A,3.70,4.05
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",66%,100%,81%,N/A,N/A,N/A,N/A,N/A,3.85
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,43%,100%,95%,4.57,4.12,4.87,N/A,4.15,3.43
09X252,MOTT HALL BRONX HIGH SCHOOL,11%,89%,59%,3.05,3.73,3.13,N/A,3.89,3.45
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,42%,97%,89%,4.46,3.99,4.80,N/A,3.51,4.39
09X263,VALIDUS PREPARATORY ACADEMY,47%,96%,65%,3.38,3.59,2.65,N/A,2.94,3.76
09X274,THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,19%,92%,N/A,N/A,N/A,N/A,N/A,N/A,3.33
09X294,THE WALTON AVENUE SCHOOL,54%,90%,N/A,4.23,4.66,4.00,N/A,4.15,3.67
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,36%,100%,87%,4.72,4.58,4.11,N/A,4.02,4.53
09X303,I.S. X303 LEADERSHIP & COMMUNITY SERVICE,97%,100%,99%,4.78,4.46,4.03,N/A,4.03,4.35
09X311,LUCERO ELEMENTARY SCHOOL,75%,97%,N/A,3.67,3.71,4.03,N/A,4.23,4.22
09X313,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,54%,67%,94%,2.61,2.99,3.31,N/A,3.44,3.28
09X323,BRONX WRITING ACADEMY,34%,95%,81%,2.78,3.39,2.70,N/A,2.35,2.92
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,45%,100%,91%,4.08,3.62,4.02,N/A,3.87,3.88
09X327,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,55%,81%,81%,N/A,N/A,N/A,N/A,N/A,4.08
09X328,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,78%,100%,95%,4.28,3.87,3.96,N/A,3.13,3.65
09X329,DREAMYARD PREPARATORY SCHOOL,73%,96%,91%,4.22,3.90,3.72,N/A,4.38,4.18
09X339,I.S. 339,39%,67%,95%,3.50,3.60,3.43,N/A,3.62,3.53
09X350,NEW DIRECTIONS SECONDARY SCHOOL,51%,89%,88%,2.82,2.94,2.22,N/A,2.44,2.96
09X361,THE HIGHBRIDGE GREEN SCHOOL,99%,100%,97%,3.80,3.69,3.90,N/A,3.32,3.34
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,100%,100%,97%,4.44,4.31,4.93,N/A,4.63,4.54
09X403,BRONX INTERNATIONAL HIGH SCHOOL,64%,87%,81%,4.03,3.61,3.69,N/A,2.74,3.98
09X404,SCHOOL FOR EXCELLENCE,13%,100%,48%,2.49,2.72,2.11,N/A,3.16,3.41
09X412,BRONX HIGH SCHOOL OF BUSINESS,51%,78%,90%,3.57,3.61,3.07,N/A,3.59,3.85
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,34%,100%,98%,3.50,3.72,2.73,N/A,4.28,4.18
09X443,THE FAMILY SCHOOL,68%,100%,N/A,4.28,3.95,4.15,N/A,3.98,4.09
09X449,GRANT AVENUE ELEMENTARY SCHOOL,87%,90%,N/A,4.36,4.47,3.64,N/A,4.15,4.06
09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,77%,94%,93%,4.48,4.57,4.57,N/A,3.89,4.47
09X457,SHERIDAN ACADEMY FOR YOUNG LEADERS,52%,86%,N/A,2.86,2.92,2.27,N/A,3.89,3.58
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",66%,79%,85%,2.82,3.31,2.59,N/A,1.89,2.69
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,86%,100%,79%,3.47,3.54,3.99,N/A,3.08,3.54
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,13%,85%,44%,2.85,3.16,3.20,N/A,3.16,2.76
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,34%,100%,55%,2.61,2.93,2.73,N/A,2.23,2.94
